Date_sampled,Block_id,Rep,total_Antho_mg_berry_somers,total_antho_hplc,brix
8/16/20,B3R3,3,0.80715798,0.540784156,22.8
8/22/20,B1R1,1,0.764099532,0.47085451,23
8/22/20,B1R1,2,0.771910655,0.582444843,23.2
8/22/20,B1R1,3,0.726077318,0.466576527,22.8
8/22/20,B1R3,1,0.80802176,0.500883967,23.4
8/22/20,B1R3,2,0.747899604,0.47346883,22.9
8/22/20,B1R3,3,0.678888467,0.454161655,23.1
8/22/20,B1R4,1,0.73128288,0.446358697,24.2
8/22/20,B1R4,2,0.836999514,0.276473709,24.1
8/22/20,B1R4,3,0.7466662,0.448717047,24.2
8/22/20,B2R1,1,0.766999601,0.52456807,23.7
8/22/20,B2R1,2,0.882016253,0.57277751,23.4
8/22/20,B2R1,3,0.778805179,0.522229313,23.3
8/22/20,B2R2,1,0.93540937,0.564519493,22.7
8/22/20,B2R2,2,0.821996839,0.531867862,23.3
8/22/20,B2R2,3,0.862624571,0.533905344,23.5
8/22/20,B2R3,1,0.834399589,0.522000741,22.8
8/22/20,B2R3,2,0.784621795,0.49578801,23.1
8/22/20,B2R3,3,0.695066285,0.49216518,22.9
8/22/20,B3R1,1,0.770605195,0.529211634,24.2
8/22/20,B3R1,2,0.859060685,0.566787674,23.6
8/22/20,B3R1,3,0.85447736,0.518212066,23.4
8/22/20,B3R2,1,0.805974622,0.514730413,23
8/22/20,B3R2,2,0.70527745,0.446381482,22.9
8/22/20,B3R2,3,0.845541218,0.515876886,23.2
8/22/20,B3R3,1,0.777424593,0.496476444,23.1
8/22/20,B3R3,2,0.775174613,0.518346715,22.9
8/22/20,B3R3,3,0.67555525,0.433476304,23.4
8/27/20,B1R1,1,0.885193613,0.873200877,23.4
8/27/20,B1R1,2,0.816590995,0.802414225,23.5
8/27/20,B1R1,3,0.843732587,0.808806142,23.6
8/27/20,B1R3,1,0.890515862,0.829114286,23.8
8/27/20,B1R3,2,0.933110273,0.841475215,23.9
8/27/20,B1R3,3,0.815526983,0.767482053,23.5
8/27/20,B1R4,1,0.852596468,0.76180508,24.5
8/27/20,B1R4,2,0.900471403,0.837276864,24.4
8/27/20,B1R4,3,0.908721348,0.822436287,24.6
8/27/20,B2R1,1,1.001099142,0.944861319,23.4
8/27/20,B2R1,2,0.953035259,0.861269957,23.9
8/27/20,B2R1,3,0.991526965,0.899268618,23.9
8/27/20,B2R2,1,0.985676959,0.927031688,23.7
8/27/20,B2R2,2,0.936054808,0.887834139,23.5
8/27/20,B2R2,3,1.030754747,0.914631991,23.4
8/27/20,B2R3,1,0.853299276,0.79582109,23.4
8/27/20,B2R3,2,0.863604843,0.809035508,23.2
8/27/20,B2R3,3,0.907499212,0.824967964,23.7
8/27/20,B3R1,1,0.94141586,0.861116646,23.6
8/27/20,B3R1,2,0.996988017,0.900415855,24
8/27/20,B3R1,3,0.911304755,0.837499028,23.3
8/27/20,B3R2,1,0.970499106,0.875620651,23.5
8/27/20,B3R2,2,0.959815856,0.847507364,23.2
8/27/20,B3R2,3,1.008299178,0.878964121,23.4
8/27/20,B3R3,1,0.948404719,0.851040198,23.4
8/27/20,B3R3,2,0.893638088,0.814828844,23.1
8/27/20,B3R3,3,0.92740757,0.837636492,23.8
9/4/20,B1R1,1,0.677449541,0.535170339,24.6
9/4/20,B1R1,2,0.712755064,0.561625841,24.1
9/4/20,B1R1,3,0.713555024,0.554943198,24.5
9/4/20,B1R3,1,0.791955035,0.603458296,24.6
9/4/20,B1R3,2,0.751332736,0.561829177,24.5
9/4/20,B1R3,3,0.778599456,0.456977669,24.8
9/4/20,B1R4,1,0.748324427,0.561754295,24.7
9/4/20,B1R4,2,0.769199472,0.566810258,25.2
9/4/20,B1R4,3,0.729468374,0.530334856,24.9
9/4/20,B2R1,1,0.885193852,0.60981289,24.9
9/4/20,B2R1,2,0.857474468,0.585144328,25.3
9/4/20,B2R1,3,0.912916095,0.590328832,24.6
9/4/20,B2R2,1,0.883807788,0.627787065,24.4
9/4/20,B2R2,2,0.860843909,0.636038337,24.4
9/4/20,B2R2,3,0.909377187,0.58407964,24.3
9/4/20,B2R3,1,0.740455086,0.478123904,24.2
9/4/20,B2R3,2,0.763493973,0.508924687,24
9/4/20,B2R3,3,0.786805069,0.530317349,24.1
9/4/20,B3R1,1,0.839510499,0.529367041,24.8
9/4/20,B3R1,2,0.768471697,0.52235251,24.5
9/4/20,B3R1,3,0.789532813,0.505505927,24.8
9/4/20,B3R2,1,0.846316083,0.527693555,24.2
9/4/20,B3R2,2,0.857710568,0.573289428,24.3
9/4/20,B3R2,3,0.817249405,NA,24
9/4/20,B3R3,1,0.817377271,0.497468316,24.5
9/4/20,B3R3,2,0.789082846,0.501471258,24.1
9/4/20,B3R3,3,0.781627284,0.508250153,24.5
9/8/20,B1R1,1,0.675099377,0.749200715,25.7
9/8/20,B1R1,2,0.804599046,0.780641189,26.6
9/8/20,B1R1,3,0.774999083,0.769421309,26.1
9/8/20,B1R3,1,0.767998928,0.767383819,26.4
9/8/20,B1R3,2,0.845576836,0.827772578,26.2
9/8/20,B1R3,3,0.86129892,0.808404039,26.4
9/8/20,B1R4,1,0.642199164,0.664289845,27
9/8/20,B1R4,2,0.656687909,0.770980778,26.6
9/8/20,B1R4,3,0.756554645,0.737906993,26.9
9/8/20,B2R1,1,0.825354643,0.839632331,26
9/8/20,B2R1,2,0.836810145,0.826996853,26.2
9/8/20,B2R1,3,0.770560287,0.811362865,25.8
9/8/20,B2R2,1,0.935304627,0.8760966,25.4
9/8/20,B2R2,2,0.949498974,0.836381346,25.4
9/8/20,B2R2,3,0.96107402,0.89618593,25.4
9/8/20,B2R3,1,0.862499106,0.77997127,25.7
9/8/20,B2R3,2,0.855099065,0.795206876,25.1
9/8/20,B2R3,3,0.834310204,0.782662249,25.2
9/8/20,B3R1,1,0.907771245,0.807503983,26.4
9/8/20,B3R1,2,0.883510156,0.792112425,26.4
9/8/20,B3R1,3,0.865510308,0.789441779,26.6
9/8/20,B3R2,1,0.992099034,NA,25
9/8/20,B3R2,2,0.905915675,0.830414218,25
9/8/20,B3R2,3,0.980198995,0.837606536,25.3
9/8/20,B3R3,1,0.880362888,0.787680998,25.4
9/8/20,B3R3,2,0.847732455,0.742260547,25.8
9/8/20,B3R3,3,0.813221379,0.747747767,25.7
9/12/20,B1R1,1,0.644682816,0.365681652,26.6
9/12/20,B1R1,2,0.567449531,0.301796611,26.4
9/12/20,B1R1,3,0.644943948,0.361996528,26.5
9/12/20,B1R3,1,0.681599504,0.456401407,26.5
9/12/20,B1R3,2,0.713999422,0.40232999,26.4
9/12/20,B1R3,3,0.628332833,0.364674534,27.5
9/12/20,B1R4,1,0.637174544,0.337192375,27.4
9/12/20,B1R4,2,0.6829328,0.330302235,27.2
9/12/20,B1R4,3,0.64604113,0.363462272,27.4
9/12/20,B2R1,1,0.744316151,0.389456054,27.1
9/12/20,B2R1,2,0.732532832,0.464850743,26.4
9/12/20,B2R1,3,0.736388383,0.47278944,26.5
9/12/20,B2R2,1,0.814452217,0.48739997,25.5
9/12/20,B2R2,2,0.79264385,0.498163917,26.1
9/12/20,B2R2,3,0.769124493,0.483462272,25.9
9/12/20,B2R3,1,0.747643901,0.465442384,25.4
9/12/20,B2R3,2,0.778249395,0.4435877,25.1
9/12/20,B2R3,3,0.683805121,0.442771829,25
9/12/20,B3R1,1,0.481994119,0.310987095,26.9
9/12/20,B3R1,2,0.728449422,0.464780347,26.5
9/12/20,B3R1,3,0.784988282,0.481954605,26.8
9/12/20,B3R2,1,0.841227183,0.529588252,25.4
9/12/20,B3R2,3,0.747932727,0.410448928,25.1
9/12/20,B3R3,1,0.7547217,0.466766141,25.9
9/12/20,B3R3,2,0.783085568,0.478088842,26
9/12/20,B3R3,3,0.803249439,0.457785907,26.2
