date,day,year,block_id,vine,round,leaf_wp_bar,leaf_temp,stem_wp_bar,Leak,wrong_vine,pixel_number,treatment
5/27/2020,148,2020,B1R4_NE,5.14,2,7.3,28.3,NA,no,no,67,1
5/27/2020,148,2020,B1R4_SW,5.7,2,10.0,33.2,NA,no,no,60,1
5/27/2020,148,2020,B1R4_SE,5.6,2,NA,NA,NA,no,no,69,1
5/27/2020,148,2020,B2R1_NW,5.10,2,6.3,31.5,NA,no,no,14,2
5/27/2020,148,2020,B2R1_NE,5.7,2,3.4,36.2,NA,no,no,23,2
5/27/2020,148,2020,B2R1_SW,5.3,2,NA,NA,NA,no,no,16,2
5/27/2020,148,2020,B2R1_SE,5.7,2,6.8,32.2,NA,no,no,25,2
5/27/2020,148,2020,B2R2_NW,5.4,2,NA,NA,NA,no,no,24,2
5/27/2020,148,2020,B2R2_NE,5.12,2,4.0,33.6,NA,no,no,33,2
5/27/2020,148,2020,B2R2_SW,5.13,2,8.0,29.4,NA,no,no,26,2
5/27/2020,148,2020,B2R2_SE,5.3,2,8.6,34.0,NA,no,no,35,2
5/27/2020,148,2020,B2R3_NW,5.7,2,NA,NA,NA,no,no,47,2
5/27/2020,148,2020,B2R3_NE,5.9,2,8.6,31.8,NA,no,no,48,2
5/27/2020,148,2020,B2R3_SW,5.3,2,7.6,33.6,NA,no,no,49,2
5/27/2020,148,2020,B2R3_SE,5.5,2,5.9,34.5,NA,no,no,50,2
5/27/2020,148,2020,B3R1_NW,5.6,2,9.8,31.9,NA,no,no,18,3
5/27/2020,148,2020,B3R1_NE,5.5,2,8.1,34.7,NA,no,no,27,3
5/27/2020,148,2020,B3R1_SW,5.14,2,NA,NA,NA,no,no,20,3
5/27/2020,148,2020,B3R1_SE,5.8,2,5.5,33.6,NA,no,no,29,3
5/27/2020,148,2020,B3R2_NW,5.13,2,2.9,37.3,NA,no,no,34,3
5/27/2020,148,2020,B3R2_NE,5.7,2,3.2,33.1,NA,no,no,43,3
5/27/2020,148,2020,B3R2_SW,5.9,2,NA,NA,NA,no,no,36,3
5/27/2020,148,2020,B3R2_SE,5.7,2,7.0,35.2,NA,no,no,45,3
5/27/2020,148,2020,B3R3_NW,5.5,2,5.5,37.1,NA,no,no,54,3
5/27/2020,148,2020,B3R3_NE,5.9,2,7.5,32.2,NA,no,no,63,3
5/27/2020,148,2020,B3R3_SW,5.7,2,NA,NA,NA,no,no,56,3
5/27/2020,148,2020,B3R3_SE,5.3,2,7.8,30.9,NA,no,no,65,3
5/27/2020,148,2020,B1R1_NW,5.14,3,NA,NA,NA,no,no,4,1
5/27/2020,148,2020,B1R1_NE,5.3,3,9.6,31.4,NA,no,no,13,1
5/27/2020,148,2020,B1R1_SW,5.8,3,3.8,34.5,NA,no,no,6,1
5/27/2020,148,2020,B1R1_SE,5.10,3,3.6,33.4,NA,no,no,15,1
5/27/2020,148,2020,B1R3_NW,5.6,3,NA,NA,NA,no,no,44,1
5/27/2020,148,2020,B1R3_NE,5.14,3,9.1,33.4,NA,no,no,53,1
5/27/2020,148,2020,B1R3_SW,5.4,3,9.6,35.6,NA,yes,no,46,1
5/27/2020,148,2020,B1R3_SE,5.6,3,12.1,37.3,NA,no,no,55,1
5/27/2020,148,2020,B1R4_NW,5.14,3,8.5,39.9,NA,no,no,58,1
5/27/2020,148,2020,B1R4_NE,5.14,3,11.5,36.1,NA,no,no,67,1
5/27/2020,148,2020,B1R4_SW,5.7,3,11.2,33.7,NA,no,no,60,1
5/27/2020,148,2020,B1R4_SE,5.6,3,NA,NA,NA,no,no,69,1
5/27/2020,148,2020,B2R1_NW,5.10,3,8.3,31.4,NA,no,no,14,2
5/27/2020,148,2020,B2R1_NE,5.7,3,10.7,34.4,NA,no,no,23,2
5/27/2020,148,2020,B2R1_SW,5.3,3,NA,NA,NA,no,no,16,2
5/27/2020,148,2020,B2R1_SE,5.7,3,10.2,36.1,NA,no,no,25,2
5/27/2020,148,2020,B2R2_NW,5.4,3,NA,NA,NA,no,no,24,2
5/27/2020,148,2020,B2R2_NE,5.12,3,9.3,35.5,NA,no,no,33,2
5/27/2020,148,2020,B2R2_SW,5.13,3,11.1,36.3,NA,no,no,26,2
5/27/2020,148,2020,B2R2_SE,5.3,3,7.1,33.8,NA,no,no,35,2
5/27/2020,148,2020,B2R3_NW,5.7,3,NA,NA,NA,no,no,47,2
5/27/2020,148,2020,B2R3_NE,5.9,3,4.9,34.3,NA,no,no,48,2
5/27/2020,148,2020,B2R3_SW,5.3,3,11.5,27.4,NA,no,no,49,2
5/27/2020,148,2020,B2R3_SE,5.5,3,9,32.3,NA,no,no,50,2
5/27/2020,148,2020,B3R1_NW,5.6,3,10.9,38.9,NA,no,no,18,3
5/27/2020,148,2020,B3R1_NE,5.5,3,9.4,38.4,NA,no,no,27,3
5/27/2020,148,2020,B3R1_SW,5.14,3,NA,NA,NA,no,no,20,3
5/27/2020,148,2020,B3R1_SE,5.8,3,9.4,33.4,NA,no,no,29,3
5/27/2020,148,2020,B3R2_NW,5.13,3,10.9,35.9,NA,no,no,34,3
5/27/2020,148,2020,B3R2_NE,5.7,3,10.6,33.2,NA,no,no,43,3
5/27/2020,148,2020,B3R2_SW,5.9,3,NA,NA,NA,no,no,36,3
5/27/2020,148,2020,B3R2_SE,5.7,3,4.1,35.0,NA,no,no,45,3
5/27/2020,148,2020,B3R3_NW,5.5,3,8.9,30.9,NA,no,no,54,3
5/27/2020,148,2020,B3R3_NE,5.9,3,9.7,35.8,NA,no,no,63,3
5/27/2020,148,2020,B3R3_SW,5.7,3,NA,NA,NA,no,no,56,3
5/27/2020,148,2020,B3R3_SE,5.3,3,11.1,32.1,NA,no,no,65,3
5/27/2020,148,2020,B1R1_NW,5.14,4,NA,NA,NA,no,no,4,1
5/27/2020,148,2020,B1R1_NE,5.3,4,11.5,31.0,5.9,no,no,13,1
5/27/2020,148,2020,B1R1_SW,5.8,4,14.0,30.0,6.5,no,no,6,1
5/27/2020,148,2020,B1R1_SE,5.10,4,12.5,34.5,7.5,no,no,15,1
5/27/2020,148,2020,B1R3_NW,5.6,4,NA,NA,NA,no,no,44,1
5/27/2020,148,2020,B1R3_NE,5.14,4,12.6,39.0,6.5,no,no,53,1
5/27/2020,148,2020,B1R3_SW,5.4,4,9.2,28.5,6.5,no,no,46,1
5/27/2020,148,2020,B1R3_SE,5.6,4,8.0,25.8,6.2,no,no,55,1
5/27/2020,148,2020,B1R4_NW,5.14,4,11.9,32.2,5.6,no,no,58,1
5/27/2020,148,2020,B1R4_NE,5.14,4,11.2,31.2,6.0,no,no,67,1
5/27/2020,148,2020,B1R4_SW,5.7,4,15.0,NA,7.6,no,no,60,1
5/27/2020,148,2020,B1R4_SE,5.6,4,NA,NA,NA,no,no,69,1
5/27/2020,148,2020,B2R1_NW,5.10,4,12.0,34.0,6.1,no,no,14,2
5/27/2020,148,2020,B2R1_NE,5.7,4,12.2,35.4,4.9,no,no,23,2
5/27/2020,148,2020,B2R1_SW,5.3,4,NA,NA,NA,no,no,16,2
5/27/2020,148,2020,B2R1_SE,5.7,4,12.4,34.2,6.0,no,no,25,2
5/27/2020,148,2020,B2R2_NW,5.4,4,NA,NA,NA,no,no,24,2
5/27/2020,148,2020,B2R2_NE,5.12,4,12.8,38.0,4.2,no,no,33,2
5/27/2020,148,2020,B2R2_SW,5.13,4,9.1,33.6,4.5,no,no,26,2
5/27/2020,148,2020,B2R2_SE,5.3,4,8.0,36.1,6.5,no,no,35,2
5/27/2020,148,2020,B2R3_NW,5.7,4,NA,NA,NA,no,no,47,2
5/27/2020,148,2020,B2R3_NE,5.9,4,8.6,NA,5.8,no,no,48,2
5/27/2020,148,2020,B2R3_SW,5.3,4,13.5,NA,6.8,no,no,49,2
5/27/2020,148,2020,B2R3_SE,5.5,4,13.0,NA,6.8,no,no,50,2
5/27/2020,148,2020,B3R1_NW,5.6,4,9.0,NA,5.2,no,no,18,3
5/27/2020,148,2020,B3R1_NE,5.5,4,9.1,NA,5.5,no,no,27,3
5/27/2020,148,2020,B3R1_SW,5.14,4,NA,NA,NA,no,no,20,3
5/27/2020,148,2020,B3R1_SE,5.8,4,8.5,NA,6.4,no,no,29,3
5/27/2020,148,2020,B3R2_NW,5.13,4,13.1,31.5,7.1,no,no,34,3
5/27/2020,148,2020,B3R2_NE,5.7,4,13.2,35.0,6.9,no,no,43,3
5/27/2020,148,2020,B3R2_SW,5.9,4,NA,NA,NA,no,no,36,3
5/27/2020,148,2020,B3R2_SE,5.7,4,10.5,33.8,5.5,no,no,45,3
5/27/2020,148,2020,B3R3_NW,5.5,4,11.1,37.8,7.4,no,no,54,3
5/27/2020,148,2020,B3R3_NE,5.9,4,12.1,35.1,7.8,no,no,63,3
5/27/2020,148,2020,B3R3_SW,5.7,4,NA,NA,NA,no,no,56,3
5/27/2020,148,2020,B3R3_SE,5.3,4,10.5,32.1,5.5,no,no,65,3
5/27/2020,148,2020,B1R1_NW,5.14,5,NA,NA,NA,no,no,4,1
5/27/2020,148,2020,B1R1_NE,5.3,5,8.6,30.8,NA,no,no,13,1
5/27/2020,148,2020,B1R1_SW,5.8,5,11.1,32.4,NA,no,no,6,1
5/27/2020,148,2020,B1R1_SE,5.10,5,8.9,31.3,NA,no,no,15,1
5/27/2020,148,2020,B1R3_NW,5.6,5,NA,NA,NA,no,no,44,1
5/27/2020,148,2020,B1R3_NE,5.14,5,NA,NA,NA,no,no,53,1
5/27/2020,148,2020,B1R3_SW,5.4,5,6.6,31.3,NA,no,no,46,1
5/27/2020,148,2020,B1R3_SE,5.6,5,10.2,34.2,NA,no,no,55,1
5/27/2020,148,2020,B1R4_NW,5.14,5,NA,NA,NA,no,no,58,1
5/27/2020,148,2020,B1R4_NE,5.14,5,NA,NA,NA,no,no,67,1
5/27/2020,148,2020,B1R4_SW,5.7,5,NA,NA,NA,no,no,60,1
5/27/2020,148,2020,B1R4_SE,5.6,5,NA,NA,NA,no,no,69,1
5/27/2020,148,2020,B2R1_NW,5.10,5,8.5,31.3,NA,no,no,14,2
5/27/2020,148,2020,B2R1_NE,5.7,5,9.1,31.5,NA,no,no,23,2
5/27/2020,148,2020,B2R1_SW,5.3,5,NA,NA,NA,no,no,16,2
5/27/2020,148,2020,B2R1_SE,5.7,5,9.7,33.7,NA,no,no,25,2
5/27/2020,148,2020,B2R2_NW,5.4,5,NA,NA,NA,no,no,24,2
5/27/2020,148,2020,B2R2_NE,5.12,5,6.3,29.9,NA,no,no,33,2
5/27/2020,148,2020,B2R2_SW,5.13,5,7.4,31.0,NA,no,no,26,2
5/27/2020,148,2020,B2R2_SE,5.3,5,9.0,31.2,NA,no,no,35,2
5/27/2020,148,2020,B2R3_NW,5.7,5,NA,NA,NA,no,no,47,2
5/27/2020,148,2020,B2R3_NE,5.9,5,NA,NA,NA,no,no,48,2
5/27/2020,148,2020,B2R3_SW,5.3,5,NA,NA,NA,no,no,49,2
5/27/2020,148,2020,B2R3_SE,5.5,5,NA,NA,NA,no,no,50,2
5/27/2020,148,2020,B3R1_NW,5.6,5,NA,NA,NA,no,no,18,3
5/27/2020,148,2020,B3R1_NE,5.5,5,NA,NA,NA,no,no,27,3
5/27/2020,148,2020,B3R1_SW,5.14,5,NA,NA,NA,no,no,20,3
5/27/2020,148,2020,B3R1_SE,5.8,5,NA,NA,NA,no,no,29,3
5/27/2020,148,2020,B3R2_NW,5.13,5,8.0,30.3,NA,no,no,34,3
5/27/2020,148,2020,B3R2_NE,5.7,5,7.8,29.1,NA,no,no,43,3
5/27/2020,148,2020,B3R2_SW,5.9,5,NA,NA,NA,no,no,36,3
5/27/2020,148,2020,B3R2_SE,5.7,5,10.2,36.7,NA,no,no,45,3
5/27/2020,148,2020,B3R3_NW,5.5,5,NA,NA,NA,no,no,54,3
5/27/2020,148,2020,B3R3_NE,5.9,5,NA,NA,NA,no,no,63,3
5/27/2020,148,2020,B3R3_SW,5.7,5,NA,NA,NA,no,no,56,3
5/27/2020,148,2020,B3R3_SE,5.3,5,8.6,31.4,NA,no,no,65,3
