Date_analysis,Date_sampled,Block_id,Rep,Treatment_A_corrected_abs_420,Treatment_A_corrected_abs_520,Treatment_B_corrected_abs_520,Treatment_C_corrected_abs_420,Treatment_C_corrected_abs_520,Treatment_D_corrected_abs_520,Treatment_D_corrected_abs_280,Extract_ini_vol,Extract_final_vol,dilution_factor,Skin_weight_aft,Berry_weight,Berry_numb
10/22/2020,8/13/2020,B3R2,3,0.416,0.986,0.055,0.407,0.955,0.83,1.35,59,53,0.90,6.52,64.14,60
10/22/2020,8/13/2020,B3R3,1,0.462,1.132,0.057,0.455,1.109,0.917,1.468,52,49,0.94,5.58,57.53,60
10/22/2020,8/13/2020,B3R3,2,0.422,1.029,0.052,0.422,1.027,0.848,1.348,52,48,0.92,5.38,57.58,60
10/22/2020,8/13/2020,B3R3,3,0.427,1.014,0.056,0.427,1.009,0.852,1.42,52,49,0.94,6.25,57.49,60
10/27/2020,8/16/2020,B1R1,1,0.426,1.046,0.059,0.31,0.602,0.878,1.227,55,49,0.89,3.37,60.69,60
10/27/2020,8/16/2020,B1R1,2,0.37,0.922,0.049,0.263,0.512,0.823,1.176,54,54,1.00,4.93,60.41,60
10/27/2020,8/16/2020,B1R1,3,0.384,0.913,0.057,0.281,0.529,0.77,1.225,55,53,0.96,7.19,60.49,60
10/27/2020,8/16/2020,B1R3,1,0.441,1.085,0.064,0.357,0.74,0.901,1.323,56,51.5,0.92,4.78,62.62,60
10/27/2020,8/16/2020,B1R3,2,0.397,0.986,0.057,0.329,0.713,0.854,1.306,56,52.5,0.94,5.21,62.44,60
10/27/2020,8/16/2020,B1R3,3,0.425,1.049,0.061,0.368,0.794,0.779,1.174,56,52,0.93,6.07,62.21,60
10/27/2020,8/16/2020,B1R4,1,0.448,1.124,0.06,0.389,0.854,0.916,1.292,56,49.5,0.88,5.17,61.96,60
10/27/2020,8/16/2020,B1R4,2,0.488,1.21,0.069,0.434,0.962,0.988,1.433,56,49,0.88,6,61.83,60
10/27/2020,8/16/2020,B1R4,3,0.424,1.041,0.058,0.347,0.753,0.867,1.242,56,50,0.89,5.09,61.92,60
10/27/2020,8/16/2020,B2R1,1,0.478,1.172,0.068,0.4,0.886,0.981,1.482,56,50.5,0.90,7.67,61.90,60
10/27/2020,8/16/2020,B2R1,2,0.413,1.019,0.054,0.343,0.775,0.87,1.264,56,52,0.93,4.94,62.10,60
10/27/2020,8/16/2020,B2R1,3,0.453,1.131,0.064,0.396,0.893,0.961,1.391,56,50,0.89,6.18,62.10,60
10/27/2020,8/16/2020,B2R2,1,0.541,1.367,0.075,0.478,1.137,1.045,1.536,58,51.5,0.89,5.58,65.70,60
10/27/2020,8/16/2020,B2R2,2,0.437,1.105,0.06,0.395,0.929,0.916,1.338,59,52,0.88,7.64,65.90,60
10/27/2020,8/16/2020,B2R2,3,0.478,1.23,0.061,0.427,0.998,0.962,1.417,60,51.5,0.86,5.84,65.70,60
10/27/2020,8/16/2020,B2R3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/27/2020,8/16/2020,B2R3,2,0.466,1.163,0.062,0.405,0.923,0.97,1.413,60,50,0.83,7.97,65.88,60
10/27/2020,8/16/2020,B2R3,3,0.46,1.156,0.058,0.392,0.896,1.007,1.399,60,51,0.85,5.11,66.01,60
10/27/2020,8/16/2020,B3R1,1,0.387,0.968,0.051,0.339,0.775,0.856,1.176,55,57,1.04,5.23,60.84,60
10/27/2020,8/16/2020,B3R1,2,0.409,1.033,0.054,0.375,0.874,0.889,1.247,56,52.5,0.94,5.17,60.96,60
10/27/2020,8/16/2020,B3R1,3,0.497,1.274,0.07,0.461,1.102,1.055,1.471,56,49,0.88,5.08,60.84,60
10/27/2020,8/16/2020,B3R2,1,0.44,1.096,0.057,0.411,0.959,0.922,1.412,59,52.5,0.89,6.12,64.49,60
10/27/2020,8/16/2020,B3R2,2,0.415,1.059,0.052,0.385,0.913,0.891,1.315,59,52,0.88,5.07,64.14,60
10/27/2020,8/16/2020,B3R2,3,0.51,1.296,0.063,0.472,1.123,1.035,1.537,59,50,0.85,5.56,64.52,60
10/27/2020,8/16/2020,B3R3,1,0.477,1.188,0.067,0.432,1.009,0.94,1.45,57,50,0.88,5.86,61.90,60
10/27/2020,8/16/2020,B3R3,2,0.482,1.234,0.064,0.433,1.035,0.976,1.391,56,54,0.96,5.33,61.82,60
10/27/2020,8/16/2020,B3R3,3,0.463,1.177,0.063,0.43,1.029,0.98,1.392,56,50.5,0.90,5.34,61.76,60
10/27/2020,8/22/2020,B1R1,1,0.449,1.047,0.078,0.308,0.527,0.875,1.323,54,54,1.00,7.09,59.22,60
10/27/2020,8/22/2020,B1R1,2,0.467,1.12,0.079,0.32,0.589,0.917,1.33,54,52,0.96,7.42,59.12,60
10/27/2020,8/22/2020,B1R1,3,0.459,1.055,0.082,0.325,0.567,0.89,1.38,54,50.5,0.94,6.95,59.10,60
10/27/2020,8/22/2020,B1R3,1,0.476,1.153,0.08,0.362,0.728,0.959,1.389,52,52,1.00,7.01,57.19,60
10/27/2020,8/22/2020,B1R3,2,0.413,1.01,0.066,0.324,0.662,0.853,1.179,52,54,1.04,4.8,57.11,60
10/27/2020,8/22/2020,B1R3,3,0.432,1.039,0.076,0.337,0.65,0.84,1.255,52,50,0.96,5.59,57.23,60
10/27/2020,8/22/2020,B1R4,1,0.451,1.074,0.08,0.374,0.751,0.887,1.269,54,51,0.94,6.39,59.98,60
10/27/2020,8/22/2020,B1R4,2,0.473,1.127,0.081,0.395,0.809,0.957,1.332,54,54,1.00,5.64,60.02,60
10/27/2020,8/22/2020,B1R4,3,0.482,1.137,0.084,0.348,0.692,0.924,1.361,54,50,0.93,7.4,59.97,60
10/27/2020,8/22/2020,B2R1,1,0.444,1.103,0.069,0.363,0.793,0.908,1.283,53,52,0.98,5.21,57.73,60
10/27/2020,8/22/2020,B2R1,2,0.514,1.298,0.073,0.428,0.975,1.062,1.356,53,51,0.96,5.2,57.78,60
10/27/2020,8/22/2020,B2R1,3,0.445,1.121,0.064,0.372,0.834,0.903,1.237,53,53,1.00,5.02,57.77,60
10/27/2020,8/22/2020,B2R2,1,0.526,1.324,0.079,0.464,1.052,1.083,1.56,54,54,1.00,5.73,63.52,61
10/27/2020,8/22/2020,B2R2,2,0.484,1.217,0.067,0.418,0.935,0.98,1.358,54,51.5,0.95,4.92,63.60,60
10/27/2020,8/22/2020,B2R2,3,0.516,1.289,0.075,0.43,0.96,1.03,1.499,54,51.5,0.95,6.86,63.73,60
10/27/2020,8/22/2020,B2R3,1,0.433,1.092,0.066,0.387,0.875,0.916,1.189,57,56,0.98,4.58,67.08,60
10/27/2020,8/22/2020,B2R3,2,0.455,1.114,0.074,0.397,0.879,0.93,1.381,57,52,0.91,7.32,67.16,60
10/27/2020,8/22/2020,B2R3,3,0.405,0.975,0.066,0.359,0.781,0.824,1.227,57,52,0.91,7.32,67.23,60
10/27/2020,8/22/2020,B3R1,1,0.365,0.897,0.055,0.321,0.718,0.802,1.078,56,59,1.05,5.83,62.19,60
10/27/2020,8/22/2020,B3R1,2,0.498,1.256,0.076,0.448,1.042,1.046,1.376,56,50.5,0.90,5.29,62.01,60
10/27/2020,8/22/2020,B3R1,3,0.479,1.204,0.071,0.433,1.001,0.991,1.335,56,53,0.95,5.1,62.10,60
10/27/2020,8/22/2020,B3R2,1,0.46,1.159,0.066,0.418,0.971,0.961,1.363,57,51.5,0.90,5.79,62.48,60
10/27/2020,8/22/2020,B3R2,2,0.417,1.015,0.059,0.375,0.854,0.866,1.298,57,50,0.88,6.62,62.59,60
10/27/2020,8/22/2020,B3R2,3,0.49,1.209,0.077,0.441,1.007,0.992,1.469,57,52.5,0.92,7.29,62.52,60
10/27/2020,8/22/2020,B3R3,1,0.495,1.234,0.074,0.438,1.013,0.967,1.429,53,49.5,0.93,5.63,58.54,60
10/27/2020,8/22/2020,B3R3,2,0.467,1.169,0.069,0.409,0.942,0.944,1.443,53,50.5,0.95,7.11,58.46,60
10/27/2020,8/22/2020,B3R3,3,0.397,0.981,0.055,0.347,0.791,0.829,1.191,53,50,0.94,5.53,58.49,60
10/28/2020,9/12/2020,B1R1,1,0.445,1.017,0.099,0.267,0.392,0.856,1.255,51,47,0.92,6.32,56.63,60
10/28/2020,9/12/2020,B1R1,2,0.382,0.824,0.087,0.245,0.325,0.731,1.21,51,48.5,0.95,8.01,56.69,60
10/28/2020,9/12/2020,B1R1,3,0.436,0.976,0.095,0.267,0.377,0.855,1.336,51,47,0.92,7.61,56.50,60
10/28/2020,9/12/2020,B1R3,1,0.449,1.045,0.093,0.273,0.416,0.883,1.321,53,48,0.91,6.06,58.85,60
10/28/2020,9/12/2020,B1R3,2,0.445,1.005,0.102,0.306,0.48,0.874,1.327,53,51,0.96,8.01,58.83,60
10/28/2020,9/12/2020,B1R3,3,0.423,0.939,0.09,0.293,0.469,0.784,1.212,53,50,0.94,7.39,58.77,60
10/28/2020,9/12/2020,B1R4,1,0.394,0.917,0.083,0.281,0.479,0.8,1.169,54,49.5,0.92,5.95,59.62,60
10/28/2020,9/12/2020,B1R4,2,0.462,1.055,0.1,0.344,0.615,0.887,1.331,53,48,0.91,7.39,59.73,60
10/28/2020,9/12/2020,B1R4,3,0.401,0.881,0.092,0.27,0.431,0.769,1.162,54,52.5,0.97,7.8,59.50,60
10/28/2020,9/12/2020,B2R1,1,0.453,1.078,0.091,0.296,0.518,0.906,1.243,55,51,0.93,6.41,60.91,60
10/28/2020,9/12/2020,B2R1,2,0.465,1.11,0.094,0.304,0.538,0.947,1.385,55,48,0.87,7.05,60.99,60
10/28/2020,9/12/2020,B2R1,3,0.453,1.07,0.091,0.311,0.55,0.914,1.384,54,50,0.93,7.98,60.64,60
10/28/2020,9/12/2020,B2R2,1,0.503,1.197,0.1,0.366,0.691,1.001,1.461,56,50.5,0.90,6.9,62.53,60
10/28/2020,9/12/2020,B2R2,2,0.489,1.141,0.101,0.358,0.652,0.931,1.452,56,53,0.95,8.62,62.48,60
10/28/2020,9/12/2020,B2R2,3,0.46,1.087,0.087,0.344,0.656,0.908,1.333,56,52.5,0.94,6.53,62.52,60
10/28/2020,9/12/2020,B2R3,1,0.461,1.076,0.094,0.375,0.731,0.894,1.253,58,52,0.90,6.47,64.27,60
10/28/2020,9/12/2020,B2R3,2,0.516,1.177,0.11,0.398,0.751,0.98,1.417,58,49.5,0.85,9.14,64.42,60
10/28/2020,9/12/2020,B2R3,3,0.383,0.912,0.076,0.279,0.526,0.822,1.11,56,51.5,0.92,5.54,64.17,60
10/28/2020,9/12/2020,B3R1,1,0.276,0.63,0.058,0.211,0.387,0.592,0.854,55,50.5,0.92,5.11,61.64,60
10/28/2020,9/12/2020,B3R1,2,0.453,1.044,0.102,0.359,0.692,0.891,1.307,55,51,0.93,6.84,61.62,60
10/28/2020,9/12/2020,B3R1,3,0.451,1.057,0.103,0.356,0.706,0.923,1.306,54,53,0.98,6.49,61.45,60
10/28/2020,9/12/2020,B3R2,1,0.483,1.15,0.101,0.363,0.719,0.986,1.419,59,53,0.90,7.49,66.50,60
10/28/2020,9/12/2020,B3R2,2,0.666,1.504,0.152,0.568,1.165,1.199,1.899,59,53.5,0.91,12,66.45,60
10/28/2020,9/12/2020,B3R2,3,0.482,1.09,0.105,0.391,0.747,0.898,1.453,59,52,0.88,9.76,66.52,60
10/28/2020,9/12/2020,B3R3,1,0.478,1.158,0.094,0.389,0.806,0.937,1.321,52,50,0.96,6.09,57.30,60
10/28/2020,9/12/2020,B3R3,2,0.477,1.145,0.095,0.412,0.868,0.944,1.31,52,51.5,0.99,6.27,57.37,60
10/28/2020,9/12/2020,B3R3,3,0.505,1.215,0.099,0.404,0.828,0.978,1.396,52,51,0.98,5.96,57.29,60
