date,block_id,sub-block,vigor,berry_number,berry_diameter,treatment
9/13/21,B2R1,NE,high,9,0.65,B2
9/13/21,B2R1,NE,high,10,1,B2
9/13/21,B2R1,NE,high,10,0.9,B2
9/13/21,B2R2,SE,low,1,0.9,B2
9/13/21,B2R2,SE,low,1,1,B2
9/13/21,B2R2,SE,low,2,0.9,B2
9/13/21,B2R2,SE,low,2,0.95,B2
9/13/21,B2R2,SE,low,3,1,B2
9/13/21,B2R2,SE,low,3,1,B2
9/13/21,B2R2,SE,low,4,0.9,B2
9/13/21,B2R2,SE,low,4,0.9,B2
9/13/21,B2R2,SE,low,5,0.7,B2
9/13/21,B2R2,SE,low,5,0.7,B2
9/13/21,B2R2,SE,low,6,0.9,B2
9/13/21,B2R2,SE,low,6,0.8,B2
9/13/21,B2R2,SE,low,7,0.85,B2
9/13/21,B2R2,SE,low,7,0.85,B2
9/13/21,B2R2,SE,low,8,0.7,B2
9/13/21,B2R2,SE,low,8,0.7,B2
9/13/21,B2R2,SE,low,9,0.9,B2
9/13/21,B2R2,SE,low,9,0.9,B2
9/13/21,B2R2,SE,low,10,1,B2
9/13/21,B2R2,SE,low,10,0.85,B2
9/13/21,B3R2,NE,medium,1,1,B3
9/13/21,B3R2,NE,medium,1,0.9,B3
9/13/21,B3R2,NE,medium,2,0.95,B3
9/13/21,B3R2,NE,medium,2,0.9,B3
9/13/21,B3R2,NE,medium,3,0.85,B3
9/13/21,B3R2,NE,medium,3,0.9,B3
9/13/21,B3R2,NE,medium,4,0.9,B3
9/13/21,B3R2,NE,medium,4,0.95,B3
9/13/21,B3R2,NE,medium,5,1,B3
9/13/21,B3R2,NE,medium,5,1.05,B3
9/13/21,B3R2,NE,medium,6,0.9,B3
9/13/21,B3R2,NE,medium,6,1,B3
9/13/21,B3R2,NE,medium,7,1,B3
9/13/21,B3R2,NE,medium,7,0.85,B3
9/13/21,B3R2,NE,medium,8,0.9,B3
9/13/21,B3R2,NE,medium,8,0.9,B3
9/13/21,B3R2,NE,medium,9,1,B3
9/13/21,B3R2,NE,medium,9,0.85,B3
9/13/21,B3R2,NE,medium,10,0.95,B3
9/13/21,B3R2,NE,medium,10,0.9,B3
9/14/21,B1R4,NW,high,1,0.85,B1
9/14/21,B1R4,NW,high,1,0.9,B1
9/14/21,B1R4,NW,high,2,1,B1
9/14/21,B1R4,NW,high,2,1.05,B1
9/14/21,B1R4,NW,high,3,0.9,B1
9/14/21,B1R4,NW,high,3,0.9,B1
9/14/21,B1R4,NW,high,4,1.1,B1
9/14/21,B1R4,NW,high,4,0.95,B1
9/14/21,B1R4,NW,high,5,0.9,B1
9/14/21,B1R4,NW,high,5,0.9,B1
9/14/21,B1R4,NW,high,6,1.05,B1
9/14/21,B1R4,NW,high,6,1,B1
9/14/21,B1R4,NW,high,7,0.8,B1
9/14/21,B1R4,NW,high,7,0.85,B1
9/14/21,B1R4,NW,high,8,0.9,B1
9/14/21,B1R4,NW,high,8,1,B1
9/14/21,B1R4,NW,high,9,1.1,B1
9/14/21,B1R4,NW,high,9,1.15,B1
9/14/21,B1R4,NW,high,10,1,B1
9/14/21,B1R4,NW,high,10,0.95,B1
9/14/21,B1R3,SE,medium,1,0.85,B1
9/14/21,B1R3,SE,medium,1,1,B1
9/14/21,B1R3,SE,medium,2,1,B1
9/14/21,B1R3,SE,medium,2,0.9,B1
9/14/21,B1R3,SE,medium,3,1,B1
9/14/21,B1R3,SE,medium,3,1,B1
9/14/21,B1R3,SE,medium,4,0.85,B1
9/14/21,B1R3,SE,medium,4,0.85,B1
9/14/21,B1R3,SE,medium,5,1,B1
9/14/21,B1R3,SE,medium,5,1.05,B1
9/14/21,B1R3,SE,medium,6,0.9,B1
9/14/21,B1R3,SE,medium,6,0.9,B1
9/14/21,B1R3,SE,medium,7,0.9,B1
9/14/21,B1R3,SE,medium,7,0.95,B1
9/14/21,B1R3,SE,medium,8,0.9,B1
9/14/21,B1R3,SE,medium,8,0.85,B1
9/14/21,B1R3,SE,medium,9,1,B1
9/14/21,B1R3,SE,medium,9,1,B1
9/14/21,B1R3,SE,medium,10,0.9,B1
9/14/21,B1R3,SE,medium,10,0.8,B1
9/14/21,B2R1,SE,high,1,0.9,B2
9/14/21,B2R1,SE,high,1,0.9,B2
9/14/21,B2R1,SE,high,2,0.85,B2
9/14/21,B2R1,SE,high,2,0.9,B2
9/14/21,B2R1,SE,high,3,0.85,B2
9/14/21,B2R1,SE,high,3,0.95,B2
9/14/21,B2R1,SE,high,4,0.9,B2
9/14/21,B2R1,SE,high,4,0.8,B2
9/14/21,B2R1,SE,high,5,1,B2
9/14/21,B2R1,SE,high,5,0.9,B2
9/14/21,B2R1,SE,high,6,0.85,B2
9/14/21,B2R1,SE,high,6,0.85,B2
9/14/21,B2R1,SE,high,7,0.8,B2
9/14/21,B2R1,SE,high,7,0.9,B2
9/14/21,B2R1,SE,high,8,0.9,B2
9/14/21,B2R1,SE,high,8,1,B2
9/14/21,B2R1,SE,high,9,0.8,B2
9/14/21,B2R1,SE,high,9,0.9,B2
9/14/21,B2R1,SE,high,10,0.8,B2
9/14/21,B2R1,SE,high,10,0.9,B2
9/14/21,B2R3,SE,low,1,1.05,B2
9/14/21,B2R3,SE,low,1,1,B2
9/14/21,B2R3,SE,low,2,0.85,B2
9/14/21,B2R3,SE,low,2,0.75,B2
9/14/21,B2R3,SE,low,3,0.9,B2
9/14/21,B2R3,SE,low,3,1,B2
9/14/21,B2R3,SE,low,4,1,B2
9/14/21,B2R3,SE,low,4,0.95,B2
9/14/21,B2R3,SE,low,5,1,B2
9/14/21,B2R3,SE,low,5,0.9,B2
9/14/21,B2R3,SE,low,6,1.1,B2
9/14/21,B2R3,SE,low,6,1.2,B2
9/14/21,B2R3,SE,low,7,0.95,B2
9/14/21,B2R3,SE,low,7,1,B2
9/14/21,B2R3,SE,low,8,1,B2
9/14/21,B2R3,SE,low,8,1.1,B2
9/14/21,B2R3,SE,low,9,1,B2
9/14/21,B2R3,SE,low,9,0.9,B2
9/14/21,B2R3,SE,low,10,0.95,B2
9/14/21,B2R3,SE,low,10,0.8,B2
9/14/21,B3R3,SE,medium,1,0.85,B3
9/14/21,B3R3,SE,medium,1,0.9,B3
9/14/21,B3R3,SE,medium,2,0.8,B3
9/14/21,B3R3,SE,medium,2,0.8,B3
9/14/21,B3R3,SE,medium,3,0.9,B3
9/14/21,B3R3,SE,medium,3,0.9,B3
9/14/21,B3R3,SE,medium,4,0.95,B3
9/14/21,B3R3,SE,medium,4,0.9,B3
9/14/21,B3R3,SE,medium,5,0.9,B3
9/14/21,B3R3,SE,medium,5,1,B3
9/14/21,B3R3,SE,medium,6,0.95,B3
9/14/21,B3R3,SE,medium,6,0.85,B3
9/14/21,B3R3,SE,medium,7,0.9,B3
9/14/21,B3R3,SE,medium,7,0.85,B3
9/14/21,B3R3,SE,medium,8,1,B3
9/14/21,B3R3,SE,medium,8,1,B3
9/14/21,B3R3,SE,medium,9,0.8,B3
9/14/21,B3R3,SE,medium,9,0.8,B3
9/14/21,B3R3,SE,medium,10,0.9,B3
9/14/21,B3R3,SE,medium,10,0.9,B3
9/15/21,B1R3,SW,medium,1,0.9,B1
9/15/21,B1R3,SW,medium,1,0.95,B1
9/15/21,B1R3,SW,medium,2,0.8,B1
9/15/21,B1R3,SW,medium,2,0.9,B1
9/15/21,B1R3,SW,medium,3,0.9,B1
9/15/21,B1R3,SW,medium,3,0.8,B1
9/15/21,B1R3,SW,medium,4,0.9,B1
9/15/21,B1R3,SW,medium,4,0.9,B1
9/15/21,B1R3,SW,medium,5,0.9,B1
9/15/21,B1R3,SW,medium,5,1,B1
9/15/21,B1R3,SW,medium,6,1,B1
9/15/21,B1R3,SW,medium,6,0.9,B1
9/15/21,B1R3,SW,medium,7,1,B1
9/15/21,B1R3,SW,medium,7,0.9,B1
9/15/21,B1R3,SW,medium,8,0.9,B1
9/15/21,B1R3,SW,medium,8,0.9,B1
9/15/21,B1R3,SW,medium,9,0.9,B1
9/15/21,B1R3,SW,medium,9,0.85,B1
9/15/21,B1R3,SW,medium,10,0.85,B1
9/15/21,B1R3,SW,medium,10,0.9,B1
9/15/21,B1R4,NE,medium,1,0.9,B1
9/15/21,B1R4,NE,medium,1,1.05,B1
9/15/21,B1R4,NE,medium,2,1,B1
9/15/21,B1R4,NE,medium,2,1,B1
9/15/21,B1R4,NE,medium,3,1.05,B1
9/15/21,B1R4,NE,medium,3,1,B1
9/15/21,B1R4,NE,medium,4,1,B1
9/15/21,B1R4,NE,medium,4,1.05,B1
9/15/21,B1R4,NE,medium,5,1,B1
9/15/21,B1R4,NE,medium,5,1.1,B1
9/15/21,B1R4,NE,medium,6,1,B1
9/15/21,B1R4,NE,medium,6,1.1,B1
9/15/21,B1R4,NE,medium,7,1,B1
9/15/21,B1R4,NE,medium,7,1,B1
9/15/21,B1R4,NE,medium,8,1.1,B1
9/15/21,B1R4,NE,medium,8,1.05,B1
9/15/21,B1R4,NE,medium,9,1,B1
9/15/21,B1R4,NE,medium,9,0.85,B1
9/15/21,B1R4,NE,medium,10,1,B1
9/15/21,B1R4,NE,medium,10,0.9,B1
9/15/21,B2R1,SW,high,1,0.9,B2
9/15/21,B2R1,SW,high,1,0.9,B2
9/15/21,B2R1,SW,high,2,0.9,B2
9/15/21,B2R1,SW,high,2,0.85,B2
9/15/21,B2R1,SW,high,3,0.9,B2
9/15/21,B2R1,SW,high,3,0.95,B2
9/15/21,B2R1,SW,high,4,0.8,B2
9/15/21,B2R1,SW,high,4,0.9,B2
9/15/21,B2R1,SW,high,5,0.9,B2
9/15/21,B2R1,SW,high,5,0.9,B2
9/15/21,B2R1,SW,high,6,0.95,B2
9/15/21,B2R1,SW,high,6,0.9,B2
9/15/21,B2R1,SW,high,7,0.95,B2
9/15/21,B2R1,SW,high,7,1,B2
9/15/21,B2R1,SW,high,8,1,B2
9/15/21,B2R1,SW,high,8,0.95,B2
9/15/21,B2R1,SW,high,9,0.95,B2
9/15/21,B2R1,SW,high,9,1,B2
9/15/21,B2R1,SW,high,10,1,B2
9/15/21,B2R1,SW,high,10,1,B2
9/15/21,B2R2,NE,medium,1,1,B2
9/15/21,B2R2,NE,medium,1,1,B2
9/15/21,B2R2,NE,medium,2,1,B2
9/15/21,B2R2,NE,medium,2,0.95,B2
9/15/21,B2R2,NE,medium,3,1,B2
9/15/21,B2R2,NE,medium,3,1,B2
9/15/21,B2R2,NE,medium,4,0.9,B2
9/15/21,B2R2,NE,medium,4,1,B2
9/15/21,B2R2,NE,medium,5,1.1,B2
9/15/21,B2R2,NE,medium,5,1.1,B2
9/15/21,B2R2,NE,medium,6,0.9,B2
9/15/21,B2R2,NE,medium,6,0.95,B2
9/15/21,B2R2,NE,medium,7,0.9,B2
9/15/21,B2R2,NE,medium,7,0.9,B2
9/15/21,B2R2,NE,medium,8,0.85,B2
9/15/21,B2R2,NE,medium,8,0.9,B2
9/15/21,B2R2,NE,medium,9,0.9,B2
9/15/21,B2R2,NE,medium,9,1,B2
9/15/21,B2R2,NE,medium,10,1,B2
9/15/21,B2R2,NE,medium,10,1.1,B2
9/15/21,B2R3,SW,low,1,1,B2
9/15/21,B2R3,SW,low,1,1.1,B2
9/15/21,B2R3,SW,low,2,0.9,B2
9/15/21,B2R3,SW,low,2,0.9,B2
9/15/21,B2R3,SW,low,3,0.9,B2
9/15/21,B2R3,SW,low,3,1,B2
9/15/21,B2R3,SW,low,4,0.9,B2
9/15/21,B2R3,SW,low,4,0.9,B2
9/15/21,B2R3,SW,low,5,0.85,B2
9/15/21,B2R3,SW,low,5,1.1,B2
9/15/21,B2R3,SW,low,6,0.9,B2
9/15/21,B2R3,SW,low,6,0.9,B2
9/15/21,B2R3,SW,low,7,0.95,B2
9/15/21,B2R3,SW,low,7,0.9,B2
9/15/21,B2R3,SW,low,8,1.1,B2
9/15/21,B2R3,SW,low,8,1.15,B2
9/15/21,B2R3,SW,low,9,0.95,B2
9/15/21,B2R3,SW,low,9,0.9,B2
9/15/21,B2R3,SW,low,10,0.85,B2
9/15/21,B2R3,SW,low,10,0.9,B2
9/15/21,B3R2,SW,high,1,0.9,B3
9/15/21,B3R2,SW,high,1,1,B3
9/15/21,B3R2,SW,high,2,1,B3
9/15/21,B3R2,SW,high,2,0.85,B3
9/15/21,B3R2,SW,high,3,0.8,B3
9/15/21,B3R2,SW,high,3,0.9,B3
9/15/21,B3R2,SW,high,4,1.1,B3
9/15/21,B3R2,SW,high,4,0.95,B3
9/15/21,B3R2,SW,high,5,0.8,B3
9/15/21,B3R2,SW,high,5,0.8,B3
9/15/21,B3R2,SW,high,6,0.9,B3
9/15/21,B3R2,SW,high,6,1,B3
9/15/21,B3R2,SW,high,7,1.1,B3
9/15/21,B3R2,SW,high,7,1,B3
9/15/21,B3R2,SW,high,8,0.8,B3
9/15/21,B3R2,SW,high,8,0.8,B3
9/15/21,B3R2,SW,high,9,0.9,B3
9/15/21,B3R2,SW,high,9,0.8,B3
9/15/21,B3R2,SW,high,10,0.8,B3
9/15/21,B3R2,SW,high,10,0.9,B3
9/15/21,B3R3,SW,medium,1,0.95,B3
9/15/21,B3R3,SW,medium,1,0.9,B3
9/15/21,B3R3,SW,medium,2,0.9,B3
9/15/21,B3R3,SW,medium,2,0.9,B3
9/15/21,B3R3,SW,medium,3,0.9,B3
9/15/21,B3R3,SW,medium,3,0.8,B3
9/15/21,B3R3,SW,medium,4,0.9,B3
9/15/21,B3R3,SW,medium,4,0.8,B3
9/15/21,B3R3,SW,medium,5,0.95,B3
9/15/21,B3R3,SW,medium,5,0.9,B3
9/15/21,B3R3,SW,medium,6,1,B3
9/15/21,B3R3,SW,medium,6,1,B3
9/15/21,B3R3,SW,medium,7,1,B3
9/15/21,B3R3,SW,medium,7,1.05,B3
9/15/21,B3R3,SW,medium,8,0.9,B3
9/15/21,B3R3,SW,medium,8,0.9,B3
9/15/21,B3R3,SW,medium,9,0.95,B3
9/15/21,B3R3,SW,medium,9,0.95,B3
9/15/21,B3R3,SW,medium,10,1,B3
9/15/21,B3R3,SW,medium,10,1,B3
9/15/21,B3R1,SE,low,1,1.15,B3
9/15/21,B3R1,SE,low,1,1,B3
9/15/21,B3R1,SE,low,2,1,B3
9/15/21,B3R1,SE,low,2,1,B3
9/15/21,B3R1,SE,low,3,1.1,B3
9/15/21,B3R1,SE,low,3,1,B3
9/15/21,B3R1,SE,low,4,1,B3
9/15/21,B3R1,SE,low,4,0.9,B3
9/15/21,B3R1,SE,low,5,1,B3
9/15/21,B3R1,SE,low,5,1.05,B3
9/15/21,B3R1,SE,low,6,1.1,B3
9/15/21,B3R1,SE,low,6,1,B3
9/15/21,B3R1,SE,low,7,1.1,B3
9/15/21,B3R1,SE,low,7,1.1,B3
9/15/21,B3R1,SE,low,8,0.9,B3
9/15/21,B3R1,SE,low,8,1,B3
9/15/21,B3R1,SE,low,9,0.9,B3
9/15/21,B3R1,SE,low,9,1,B3
9/15/21,B3R1,SE,low,10,1,B3
9/15/21,B3R1,SE,low,10,0.9,B3
9/16/21,B1R1,NW,low,1,0.9,B1
9/16/21,B1R1,NW,low,1,1,B1
9/16/21,B1R1,NW,low,2,1.1,B1
9/16/21,B1R1,NW,low,2,1.1,B1
9/16/21,B1R1,NW,low,3,0.8,B1
9/16/21,B1R1,NW,low,3,0.8,B1
9/16/21,B1R1,NW,low,4,0.95,B1
9/16/21,B1R1,NW,low,4,1,B1
9/16/21,B1R1,NW,low,5,1,B1
9/16/21,B1R1,NW,low,5,1,B1
9/16/21,B1R1,NW,low,6,0.95,B1
9/16/21,B1R1,NW,low,6,1,B1
9/16/21,B1R1,NW,low,7,1,B1
9/16/21,B1R1,NW,low,7,1,B1
9/16/21,B1R1,NW,low,8,0.85,B1
9/16/21,B1R1,NW,low,8,0.95,B1
9/16/21,B1R1,NW,low,9,0.9,B1
9/16/21,B1R1,NW,low,9,1,B1
9/16/21,B1R1,NW,low,10,0.95,B1
9/16/21,B1R1,NW,low,10,1,B1
9/16/21,B1R4,SE,low,1,1,B1
9/16/21,B1R4,SE,low,1,1,B1
9/16/21,B1R4,SE,low,2,0.9,B1
9/16/21,B1R4,SE,low,2,0.95,B1
9/16/21,B1R4,SE,low,3,0.9,B1
9/16/21,B1R4,SE,low,3,0.95,B1
9/16/21,B1R4,SE,low,4,0.9,B1
9/16/21,B1R4,SE,low,4,0.9,B1
9/16/21,B1R4,SE,low,5,0.9,B1
9/16/21,B1R4,SE,low,5,1,B1
9/16/21,B1R4,SE,low,6,0.9,B1
9/16/21,B1R4,SE,low,6,1,B1
9/16/21,B1R4,SE,low,7,0.8,B1
9/16/21,B1R4,SE,low,7,0.85,B1
9/16/21,B1R4,SE,low,8,1,B1
9/16/21,B1R4,SE,low,8,1.05,B1
9/16/21,B1R4,SE,low,9,0.8,B1
9/16/21,B1R4,SE,low,9,0.9,B1
9/16/21,B1R4,SE,low,10,0.85,B1
9/16/21,B1R4,SE,low,10,0.9,B1
9/16/21,B1R3,NW,low,1,0.9,B1
9/16/21,B1R3,NW,low,1,0.9,B1
9/16/21,B1R3,NW,low,2,0.8,B1
9/16/21,B1R3,NW,low,2,0.9,B1
9/16/21,B1R3,NW,low,3,1,B1
9/16/21,B1R3,NW,low,3,0.95,B1
9/16/21,B1R3,NW,low,4,0.8,B1
9/16/21,B1R3,NW,low,4,0.8,B1
9/16/21,B1R3,NW,low,5,0.95,B1
9/16/21,B1R3,NW,low,5,0.9,B1
9/16/21,B1R3,NW,low,6,0.9,B1
9/16/21,B1R3,NW,low,6,0.8,B1
9/16/21,B1R3,NW,low,7,1,B1
9/16/21,B1R3,NW,low,7,1.1,B1
9/16/21,B1R3,NW,low,8,0.9,B1
9/16/21,B1R3,NW,low,8,0.9,B1
9/16/21,B1R3,NW,low,9,1,B1
9/16/21,B1R3,NW,low,9,0.9,B1
9/16/21,B1R3,NW,low,10,0.9,B1
9/16/21,B1R3,NW,low,10,0.9,B1
9/16/21,B2R2,NW,medium,1,0.9,B2
9/16/21,B2R2,NW,medium,1,1,B2
9/16/21,B2R2,NW,medium,2,1,B2
9/16/21,B2R2,NW,medium,2,1,B2
9/16/21,B2R2,NW,medium,3,0.85,B2
9/16/21,B2R2,NW,medium,3,0.9,B2
9/16/21,B2R2,NW,medium,4,0.8,B2
9/16/21,B2R2,NW,medium,4,0.85,B2
9/16/21,B2R2,NW,medium,5,0.9,B2
9/16/21,B2R2,NW,medium,5,1,B2
9/16/21,B2R2,NW,medium,6,1,B2
9/16/21,B2R2,NW,medium,6,1,B2
9/16/21,B2R2,NW,medium,7,1,B2
9/16/21,B2R2,NW,medium,7,0.9,B2
9/16/21,B2R2,NW,medium,8,0.9,B2
9/16/21,B2R2,NW,medium,8,1,B2
9/16/21,B2R2,NW,medium,9,0.9,B2
9/16/21,B2R2,NW,medium,9,1,B2
9/16/21,B2R2,NW,medium,10,0.8,B2
9/16/21,B2R2,NW,medium,10,0.9,B2
9/16/21,B2R3,NE,medium,1,1,B2
9/16/21,B2R3,NE,medium,1,1.1,B2
9/16/21,B2R3,NE,medium,2,1,B2
9/16/21,B2R3,NE,medium,2,1,B2
9/16/21,B2R3,NE,medium,3,0.9,B2
9/16/21,B2R3,NE,medium,3,0.9,B2
9/16/21,B2R3,NE,medium,4,0.9,B2
9/16/21,B2R3,NE,medium,4,0.95,B2
9/16/21,B2R3,NE,medium,5,1.1,B2
9/16/21,B2R3,NE,medium,5,1.1,B2
9/16/21,B2R3,NE,medium,6,0.9,B2
9/16/21,B2R3,NE,medium,6,0.95,B2
,B2R3,NE,medium,7,1,B2
,B2R3,NE,medium,7,1.1,B2
,B2R3,NE,medium,8,0.9,B2
,B2R3,NE,medium,8,1,B2
,B2R3,NE,medium,9,1,B2
,B2R3,NE,medium,9,1.05,B2
,B2R3,NE,medium,10,0.95,B2
,B2R3,NE,medium,10,1,B2
,B3R1,NE,,1,0.95,B3
,B3R1,NE,,1,1.1,B3
,B3R1,NE,,2,1,B3
,B3R1,NE,,2,1.1,B3
,B3R1,NE,,3,1,B3
,B3R1,NE,,3,1,B3
,B3R1,NE,,4,1,B3
,B3R1,NE,,4,1,B3
,B3R1,NE,,5,0.9,B3
,B3R1,NE,,5,1.05,B3
,B3R1,NE,,6,1.05,B3
,B3R1,NE,,6,1.15,B3
,B3R1,NE,,7,0.9,B3
,B3R1,NE,,7,1,B3
,B3R1,NE,,8,0.95,B3
,B3R1,NE,,8,1.1,B3
,B3R1,NE,,9,0.95,B3
,B3R1,NE,,9,1.1,B3
,B3R1,NE,,10,1,B3
,B3R1,NE,,10,1,B3
,B3R2,SE,high,1,1,B3
,B3R2,SE,high,1,1.1,B3
,B3R2,SE,high,2,0.9,B3
,B3R2,SE,high,2,1,B3
,B3R2,SE,high,3,1.05,B3
,B3R2,SE,high,3,1.1,B3
,B3R2,SE,high,4,0.9,B3
,B3R2,SE,high,4,0.9,B3
,B3R2,SE,high,5,0.9,B3
,B3R2,SE,high,5,0.9,B3
,B3R2,SE,high,6,0.95,B3
,B3R2,SE,high,6,1.05,B3
,B3R2,SE,high,7,0.95,B3
,B3R2,SE,high,7,0.9,B3
,B3R2,SE,high,8,0.8,B3
,B3R2,SE,high,8,0.9,B3
,B3R2,SE,high,9,0.8,B3
,B3R2,SE,high,9,0.8,B3
,B3R2,SE,high,10,0.95,B3
,B3R2,SE,high,10,1,B3
,B3R1,SW,low,1,0.9,B3
,B3R1,SW,low,1,1,B3
,B3R1,SW,low,2,0.95,B3
,B3R1,SW,low,2,1.1,B3
,B3R1,SW,low,3,0.8,B3
,B3R1,SW,low,3,0.9,B3
,B3R1,SW,low,4,0.9,B3
,B3R1,SW,low,4,0.9,B3
,B3R1,SW,low,5,0.8,B3
,B3R1,SW,low,5,0.9,B3
,B3R1,SW,low,6,0.9,B3
,B3R1,SW,low,6,1,B3
,B3R1,SW,low,7,1,B3
,B3R1,SW,low,7,1,B3
,B3R1,SW,low,8,0.9,B3
,B3R1,SW,low,8,0.95,B3
,B3R1,SW,low,9,0.8,B3
,B3R1,SW,low,9,0.9,B3
,B3R1,SW,low,10,0.9,B3
,B3R1,SW,low,10,1,B3
,B3R3,NE,,1,0.8,B3
,B3R3,NE,,1,0.8,B3
,B3R3,NE,,2,1,B3
,B3R3,NE,,2,1.1,B3
,B3R3,NE,,3,0.8,B3
,B3R3,NE,,3,0.9,B3
,B3R3,NE,,4,0.9,B3
,B3R3,NE,,4,0.9,B3
,B3R3,NE,,5,0.8,B3
,B3R3,NE,,5,0.9,B3
,B3R3,NE,,6,1.15,B3
,B3R3,NE,,6,1.2,B3
,B3R3,NE,,7,1,B3
,B3R3,NE,,7,1,B3
,B3R3,NE,,8,0.85,B3
,B3R3,NE,,8,0.85,B3
,B3R3,NE,,9,0.8,B3
,B3R3,NE,,9,0.8,B3
,B3R3,NE,,10,0.75,B3
,B3R3,NE,,10,0.8,B3
