date,block,Rep,brix,pH,TA,treatment
7/20/21,B1R1,1,11.4,2.61,23.76,1
7/20/21,B1R1,2,10.9,2.59,25.98,1
7/20/21,B1R1,3,9.8,2.66,27.09,1
7/20/21,B1R3,1,10.9,2.55,28.2,1
7/20/21,B1R3,2,11.2,2.57,28.12,1
7/20/21,B1R3,3,11.4,2.56,27.49,1
7/20/21,B1R4,1,10.9,2.6,25.46,1
7/20/21,B1R4,2,10.7,2.6,25.65,1
7/20/21,B1R4,3,11.5,2.62,23.6,1
7/20/21,B2R1,1,11.1,2.54,26.53,2
7/20/21,B2R1,2,10.7,2.54,25.08,2
7/20/21,B2R1,3,11.6,2.57,24.72,2
7/20/21,B2R2,1,11.9,2.58,24.72,2
7/20/21,B2R2,2,11.3,2.55,26.9,2
7/20/21,B2R2,3,11,2.55,27.46,2
7/20/21,B2R3,1,11.4,2.56,26.16,2
7/20/21,B2R3,2,11.2,2.58,25.79,2
7/20/21,B2R3,3,11,2.58,25.72,2
7/20/21,B3R1,1,13.2,2.65,28.2,3
7/20/21,B3R1,2,12.5,2.66,23.06,3
7/20/21,B3R1,3,12.1,2.64,24.17,3
7/20/21,B3R2,1,11.2,2.55,27.09,3
7/20/21,B3R2,2,11.4,2.54,27.91,3
7/20/21,B3R2,3,10.6,2.5,29.19,3
7/20/21,B3R3,1,12.6,2.59,24.54,3
7/20/21,B3R3,2,11.2,2.55,27.53,3
7/20/21,B3R3,3,12.1,2.56,26.87,3
8/6/21,B1R1,1,19.7,3.21,13.42,1
8/6/21,B1R1,2,19.6,3.22,12.89,1
8/6/21,B1R1,3,20,3.26,11.89,1
8/6/21,B1R3,1,20,3.14,15.19,1
8/6/21,B1R3,2,19.8,3.19,14.95,1
8/6/21,B1R3,3,20.2,3.22,14.3,1
8/6/21,B1R4,1,20.1,3.22,12.71,1
8/6/21,B1R4,2,20.1,3.16,13.42,1
8/6/21,B1R4,3,20.1,3.2,13.77,1
8/6/21,B2R1,1,20.1,3.17,13.77,2
8/6/21,B2R1,2,19.8,3.16,13.95,2
8/6/21,B2R1,3,20.3,3.16,13.54,2
8/6/21,B2R2,1,20.3,3.17,14.01,2
8/6/21,B2R2,2,19.8,3.13,14.71,2
8/6/21,B2R2,3,20.1,3.16,13.6,2
8/6/21,B2R3,1,19.7,3.12,15.3,2
8/6/21,B2R3,2,19.8,3.12,14.66,2
8/6/21,B2R3,3,19.7,3.11,15.01,2
8/6/21,B3R1,1,21,3.19,13.24,3
8/6/21,B3R1,2,20.8,3.24,19.72,3
8/6/21,B3R1,3,20.4,3.21,13.24,3
8/6/21,B3R2,1,19.7,3.14,15.71,3
8/6/21,B3R2,2,19.9,3.13,14.07,3
8/6/21,B3R2,3,19.9,3.13,15.3,3
8/6/21,B3R3,1,20.5,3.23,19.07,3
8/6/21,B3R3,2,20.5,3.21,13.83,3
8/6/21,B3R3,3,20.8,3.19,13.18,3
8/17/21,B1R1,1,21.9,3.32,6.86,1
8/17/21,B1R1,2,22.3,3.42,6.35,1
8/17/21,B1R1,3,22.2,3.47,6.06,1
8/17/21,B1R3,1,21.6,3.45,6.44,1
8/17/21,B1R3,2,22.1,3.49,5.76,1
8/17/21,B1R3,3,21.6,3.45,6.4,1
8/17/21,B1R4,1,21.8,3.48,5.87,1
8/17/21,B1R4,2,22,3.54,5.59,1
8/17/21,B1R4,3,22.1,3.52,5.87,1
8/17/21,B2R1,1,22.9,3.36,5.68,2
8/17/21,B2R1,2,22.9,3.37,6.37,2
8/17/21,B2R1,3,22.8,3.33,5.85,2
8/17/21,B2R2,1,22.4,3.26,6.69,2
8/17/21,B2R2,2,22.1,3.28,6.44,2
8/17/21,B2R2,3,22.1,3.24,6.84,2
8/17/21,B2R3,1,22.2,3.28,8.08,2
8/17/21,B2R3,2,22.1,3.31,6.22,2
8/17/21,B2R3,3,21.5,3.25,8.01,2
8/17/21,B3R1,1,22.4,3.35,6.35,3
8/17/21,B3R1,2,22.8,3.35,7.31,3
8/17/21,B3R1,3,23,3.36,5.87,3
8/17/21,B3R2,1,21.4,3.27,6.18,3
8/17/21,B3R2,2,21.9,3.29,5.75,3
8/17/21,B3R2,3,21.8,3.23,5.22,3
8/17/21,B3R3,1,22.6,3.35,5.29,3
8/17/21,B3R3,2,22.6,3.31,5.66,3
8/17/21,B3R3,3,22.4,3.23,5.88,3
8/30/21,B1R1,1,24.5,3.85,3.57,1
8/30/21,B1R1,2,23.4,3.64,5.28,1
8/30/21,B1R1,3,23.6,3.59,4.44,1
8/30/21,B1R3,1,24.1,3.64,4.27,1
8/30/21,B1R3,2,23.4,3.63,4.32,1
8/30/21,B1R3,3,23.2,3.55,4.78,1
8/30/21,B1R4,1,24.2,3.61,4.41,1
8/30/21,B1R4,2,24.2,3.65,4.12,1
8/30/21,B1R4,3,24.1,3.67,4.19,1
8/30/21,B2R1,1,24.1,3.52,4.56,2
8/30/21,B2R1,2,23.4,3.48,4.66,2
8/30/21,B2R1,3,23.9,3.52,4.47,2
8/30/21,B2R2,1,23.9,3.48,5.12,2
8/30/21,B2R2,2,23.3,3.43,5.02,2
8/30/21,B2R2,3,23.1,3.41,5.16,2
8/30/21,B2R3,1,23.2,3.49,4.94,2
8/30/21,B2R3,2,23.6,3.52,4.81,2
8/30/21,B2R3,3,23.3,3.54,4.63,2
8/30/21,B3R1,1,23.9,3.64,3.93,3
8/30/21,B3R1,2,24.6,3.72,3.88,3
8/30/21,B3R1,3,24.3,3.61,4.47,3
8/30/21,B3R2,1,23.2,3.47,5.12,3
8/30/21,B3R2,2,23.4,3.44,5.37,3
8/30/21,B3R2,3,23.1,3.59,4.5,3
8/30/21,B3R3,1,24.4,3.75,4.02,3
8/30/21,B3R3,2,25,3.71,4.13,3
8/30/21,B3R3,3,24.3,3.7,3.71,3
9/8/21,B1R1,1,25.5,3.83,3.43,1
9/8/21,B1R1,2,25.5,3.76,3.58,1
9/8/21,B1R1,3,25.6,3.91,3.25,1
9/8/21,B1R3,1,25.1,3.76,3.34,1
9/8/21,B1R3,2,25.1,3.82,3.47,1
9/8/21,B1R3,3,25.2,3.98,3.02,1
9/8/21,B1R4,1,25.3,3.89,3.51,1
9/8/21,B1R4,2,25.2,3.72,3.51,1
9/8/21,B1R4,3,25.2,3.71,3.32,1
9/8/21,B2R1,1,25.2,3.63,3.55,2
9/8/21,B2R1,2,25.2,3.68,3.63,2
9/8/21,B2R1,3,25.2,3.7,3.4,2
9/8/21,B2R2,1,25,3.52,3.83,2
9/8/21,B2R2,2,24.8,3.73,3.51,2
9/8/21,B2R2,3,25.1,3.74,3.55,2
9/8/21,B2R3,1,25.4,3.69,3.79,2
9/8/21,B2R3,2,25.5,3.67,3.83,2
9/8/21,B2R3,3,24.8,3.63,3.71,2
9/8/21,B3R1,1,26,3.68,3.75,3
9/8/21,B3R1,2,25.9,3.69,3.47,3
9/8/21,B3R1,3,25.9,3.65,3.71,3
9/8/21,B3R2,1,24.8,3.64,3.67,3
9/8/21,B3R2,2,24.8,3.56,3.67,3
9/8/21,B3R2,3,24.9,3.66,3.67,3
9/8/21,B3R3,1,24.9,3.54,3.71,3
9/8/21,B3R3,2,24.9,3.61,3.59,3
9/8/21,B3R3,3,24.9,3.68,3.75,3
