"","date","year","day","hhmmss","pixel_number","BH_Block","BH_Vine","BH_Leaf","round","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","Leaf_wp_bar","leaf_temp_C","Stem_wp_bar","Leak","wrong_vine","treatment","Rep"
"27",2019-07-25,2019,206,"08:26:26",34,"B1_R2",6,1,2,0.004143139,16.14804522,255.600712,0.220227924,0.780944786,29.93610323,31.38067419,1.935840713,50.08422605,-3.9,"24.6",NA,"Yes","No",1,2
"28",2019-07-25,2019,206,"10:48:48",34,"B1_R2",6,1,3,0.013935377,27.00452917,285.0110558,0.487827773,0.828194567,37.27486774,39.50029355,3.070242467,46.1324511,-9.9,"27.8",NA,"Yes","No",1,2
"29",2019-07-25,2019,206,"12:50:29",34,"B1_R2",6,1,4,0.014367365,20.67143451,310.2104884,0.528285293,0.8031225,39.47339032,41.53096452,2.920148455,53.31381801,-14.5,"34.6",-7.8,"Yes","No",1,2
"30",2019-07-25,2019,206,"16:23:26",34,"B1_R2",6,1,5,0.016694591,20.63703354,268.5355067,0.348348031,0.780944786,41.35552581,43.88148387,4.95316569,33.14018995,-17,"32.1",NA,"Yes","No",1,2
"31",2019-07-25,2019,206,"05:51:16",55,"B1_R3",1,1,1,0.000166646,-0.286314326,426.8359325,0.012823561,0.808676302,22.29738333,23.1268,1.286632942,49.81226364,-4.6,NA,NA,"No","No",1,3
"32",2019-07-25,2019,206,"8:28:13",55,"B1_R3",1,1,2,0.00282396,10.56328825,269.2390566,0.149869427,0.8031225,30.19665806,31.64511935,1.909182272,51.27412144,-7,"24.1",NA,"No","No",1,3
"33",2019-07-25,2019,206,"10:48:16",55,"B1_R3",1,1,3,0.004477041,12.24165763,238.4409705,0.140820774,0.780944786,38.41374839,39.06042903,3.147532227,51.92514085,-13.5,"30",NA,"No","No",1,3
"34",2019-07-25,2019,206,"13:28:14",55,"B1_R3",1,1,4,0.005044416,8.316446061,246.0531983,0.105636343,0.828194567,44.32584194,44.58536129,4.596505961,49.9444193,-15.3,"37",-14.2,"No","No",1,3
"35",2019-07-25,2019,206,"16:47:27",55,"B1_R3",1,1,5,0.005603456,9.792391228,209.9846153,0.099669265,0.8031225,45.58912857,45.16348571,5.392142188,46.73933878,-16,"36.3",NA,"No","No",1,3
"36",2019-07-25,2019,206,NA,55,"B1_R3",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"37",2019-07-25,2019,206,NA,55,"B1_R3",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"38",2019-07-25,2019,206,NA,55,"B1_R3",2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"39",2019-07-25,2019,206,NA,55,"B1_R3",2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"40",2019-07-25,2019,206,NA,55,"B1_R3",2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"41",2019-07-25,2019,206,NA,55,"B1_R3",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"42",2019-07-25,2019,206,NA,55,"B1_R3",3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"43",2019-07-25,2019,206,NA,55,"B1_R3",3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"44",2019-07-25,2019,206,NA,55,"B1_R3",3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"45",2019-07-25,2019,206,NA,55,"B1_R3",3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"46",2019-07-25,2019,206,"05:54:35",55,"B1_R3",4,1,1,6.34773e-05,-0.306975186,491.70505,0.004863172,0.82205989,22.35157667,23.19742,1.289647552,49.80711901,-4.5,NA,NA,"No","No",1,3
"47",2019-07-25,2019,206,"8:34:12",55,"B1_R3",4,1,2,0.002738631,10.10577662,258.8525081,0.130853761,0.8031225,31.01459677,31.78718387,2.108985912,51.0007844,-8,"25.1",NA,"No","No",1,3
"48",2019-07-25,2019,206,"10:41:46",55,"B1_R3",4,1,3,0.004327592,10.53731736,240.6615409,0.126738064,0.780944786,38.90450645,39.03257742,3.366704206,51.48362213,-13.8,"34.5",NA,"No","No",1,3
"49",2019-07-25,2019,206,"13:24:49",55,"B1_R3",4,1,4,0.002801454,4.510946954,238.6967365,0.054244468,0.828194567,44.94462581,44.51901613,4.902572712,50.07949278,-15.4,"41",-13.8,"No","No",1,3
"50",2019-07-25,2019,206,"16:43:43",55,"B1_R3",4,1,5,0.003344816,4.950041848,239.1076607,0.061263757,0.8031225,44.82161429,45.19084286,5.204967089,44.64083811,-20,"35.6",NA,"No","No",1,3
"51",2019-07-25,2019,206,"05:58:19",55,"B1_R3",5,1,1,5.57029e-05,-0.366493253,529.4495538,0.004210953,0.828194567,22.51728,23.32674667,1.306559678,49.78573302,-3.5,NA,NA,"No","No",1,3
"52",2019-07-25,2019,206,"8:38:32",55,"B1_R3",5,1,2,0.003281402,11.42863074,259.8431675,0.151082061,0.8031225,31.46872258,32.11641935,2.19749148,50.67715821,-7.4,"26.7",NA,"No","No",1,3
"53",2019-07-25,2019,206,"10:34:43",55,"B1_R3",5,1,3,0.003053323,13.43742394,157.3827735,0.097810125,0.780944786,37.61325806,37.99633871,3.067362186,51.85809701,-13.4,"34.1",NA,"No","No",1,3
"54",2019-07-25,2019,206,"13:20:08",55,"B1_R3",5,1,4,0.004487554,6.422015422,252.9564725,0.087529444,0.828194567,44.04851613,44.44006452,4.930563854,45.33409856,-14.9,"40",NA,"No","No",1,3
"55",2019-07-25,2019,206,"16:40:04",55,"B1_R3",5,1,5,0.00360334,5.749221668,245.8649499,0.072957324,0.8031225,44.01701905,44.98499048,4.729852478,46.00365043,-18,"37.5",NA,"No","No",1,3
"56",2019-07-25,2019,206,NA,55,"B1_R3",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"57",2019-07-25,2019,206,NA,55,"B1_R3",6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"58",2019-07-25,2019,206,NA,55,"B1_R3",6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"59",2019-07-25,2019,206,NA,55,"B1_R3",6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"60",2019-07-25,2019,206,NA,55,"B1_R3",6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"61",2019-07-25,2019,206,NA,67,"B1_R4",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"62",2019-07-25,2019,206,NA,67,"B1_R4",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"63",2019-07-25,2019,206,NA,67,"B1_R4",1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"64",2019-07-25,2019,206,NA,67,"B1_R4",1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"65",2019-07-25,2019,206,NA,67,"B1_R4",1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"66",2019-07-25,2019,206,"05:36:41",67,"B1_R4",2,1,1,0.000166473,1.375709186,194.5421936,0.011638846,0.795397125,23.67462903,24.34348065,1.413191484,49.83904666,-2.1,NA,NA,"No","No",1,1
"67",2019-07-25,2019,206,"08:46:27",67,"B1_R4",2,1,2,0.003293801,10.37186257,269.2435742,0.145973975,0.828194567,32.50283226,33.67841935,2.269280161,50.37050781,-7.1,"26.6",NA,"No","No",1,1
"68",2019-07-25,2019,206,"10:21:21",67,"B1_R4",2,1,3,0.003057145,10.19537097,200.2260468,0.091024905,0.8031225,37.11215484,35.84154839,3.309947086,51.26984236,-13.4,"30.4",NA,"No","No",1,1
"69",2019-07-25,2019,206,"13:12:45",67,"B1_R4",2,1,4,0.004094817,6.206215546,210.706551,0.064588697,0.780944786,45.48400645,46.00868387,6.054863128,37.69820109,-15.2,"38.2",-10.2,"No","No",1,1
"70",2019-07-25,2019,206,"16:41:22",67,"B1_R4",2,1,5,0.002094143,2.173630751,268.0310021,0.035074126,0.828194567,47.19995938,46.73484688,5.582747266,49.40158953,-18,"39.3",NA,"No","No",1,1
"71",2019-07-25,2019,206,"05:30:47",67,"B1_R4",3,1,1,0.000107505,-0.803342466,559.4523874,0.007584295,0.820155477,23.65655161,24.42019677,1.398972366,49.96946583,-2.3,NA,NA,"No","No",1,1
"72",2019-07-25,2019,206,"08:52:34",67,"B1_R4",3,1,2,0.005311167,13.20309363,297.8604832,0.24973765,0.828194567,32.57186774,34.20422581,2.189728359,50.74054745,-7.5,"27.5",NA,"No","No",1,1
"73",2019-07-25,2019,206,"10:26:15",67,"B1_R4",3,1,3,0.004651964,17.45048961,185.212614,0.145031484,0.8031225,36.83619032,36.47730645,3.202951658,49.70893725,-14,"31.2",NA,"No","No",1,1
"74",2019-07-25,2019,206,"13:07:19",67,"B1_R4",3,1,4,0.004412334,7.026845984,209.7425948,0.071989867,0.780944786,45.40156452,45.85031613,5.861255346,39.51302101,-14.2,"37.6",-11.2,"No","No",1,1
"75",2019-07-25,2019,206,"16:49:44",67,"B1_R4",3,1,5,0.005313758,5.964954856,270.6926818,0.097274719,0.828194567,46.69209688,46.8651375,5.189490296,50.18852126,-16.5,"33.5",NA,"No","No",1,1
"76",2019-07-25,2019,206,NA,67,"B1_R4",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"77",2019-07-25,2019,206,NA,67,"B1_R4",4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"78",2019-07-25,2019,206,NA,67,"B1_R4",4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"79",2019-07-25,2019,206,NA,67,"B1_R4",4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"80",2019-07-25,2019,206,NA,67,"B1_R4",4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"81",2019-07-25,2019,206,"05:25:17",67,"B1_R4",5,1,1,2.78665e-06,4.769083694,-38810.23201,0.000192412,0.725027676,23.7735,24.41932258,1.426547905,49.74909449,-2.4,NA,NA,"No","No",1,1
"82",2019-07-25,2019,206,"08:59:40",67,"B1_R4",5,1,2,0.005439771,13.65034073,291.8816865,0.241953765,0.828194567,33.04023871,34.56036774,2.309272329,49.96581205,-8,"26.2",NA,"No","No",1,1
"83",2019-07-25,2019,206,"10:34:43",67,"B1_R4",5,1,3,0.004186501,13.25299384,207.0110085,0.123857656,0.8031225,38.01179355,38.02305806,3.346626487,49.73156294,-7.1,"29.6",NA,"No","No",1,1
"84",2019-07-25,2019,206,"13:01:05",67,"B1_R4",5,1,4,0.004303153,7.593185213,203.5616713,0.07426588,0.780944786,44.95684839,45.39924194,5.547885077,41.35909722,-14.8,"38.2",-11.5,"No","No",1,1
"85",2019-07-25,2019,206,"16:59:14",67,"B1_R4",5,1,5,0.003497224,4.497100913,257.861852,0.064169723,0.828194567,46.31019375,46.3388875,5.146955073,50.00046024,-18.5,"39",NA,"No","No",1,1
"86",2019-07-25,2019,206,NA,67,"B1_R4",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"87",2019-07-25,2019,206,NA,67,"B1_R4",6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"88",2019-07-25,2019,206,NA,67,"B1_R4",6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"89",2019-07-25,2019,206,NA,67,"B1_R4",6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"90",2019-07-25,2019,206,NA,67,"B1_R4",6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"91",2019-07-25,2019,206,"5:51:43",23,"B2_R1",1,1,1,0.000239796,0.495463736,353.4942119,0.02119997,0.8031225,20.67416452,22.15202581,1.126641844,49.27726028,-3.3,NA,NA,"No","No",2,1
"92",2019-07-25,2019,206,"08:57:03",23,"B2_R1",1,1,2,0.005587667,15.34036923,283.6636561,0.279601651,0.780944786,32.20020323,33.67681613,2.073936469,52.51175419,-6.4,"28.4",NA,"No","No",2,1
"93",2019-07-25,2019,206,"10:15:14",23,"B2_R1",1,1,3,0.006775692,15.7483442,252.2085357,0.204251088,0.828194567,39.09802258,40.01263548,3.328265533,50.35307679,-11.1,"30.2",NA,"No","No",2,1
"94",2019-07-25,2019,206,"13:17:05",23,"B2_R1",1,1,4,0.005445026,13.03056915,213.1853999,0.131861156,0.8031225,42.47636129,42.36590323,4.027448315,52.65657777,-7.5,"41.4",-9.5,"No","No",2,1
"95",2019-07-25,2019,206,"16:11:50",23,"B2_R1",1,1,5,0.002953328,2.299755962,250.458423,0.035130557,0.780944786,44.61140968,44.29018065,8.086385499,14.64455081,-17,"38",NA,"No","No",2,1
"96",2019-07-25,2019,206,NA,23,"B2_R1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"97",2019-07-25,2019,206,NA,23,"B2_R1",2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"98",2019-07-25,2019,206,NA,23,"B2_R1",2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"99",2019-07-25,2019,206,NA,23,"B2_R1",2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"100",2019-07-25,2019,206,NA,23,"B2_R1",2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"101",2019-07-25,2019,206,"5:48:52",23,"B2_R1",3,1,1,0.000129652,1.357030585,176.7067058,0.010182297,0.821113136,21.66023226,22.30352581,1.263829433,49.39608058,-1.6,NA,NA,"No","No",2,1
"102",2019-07-25,2019,206,"08:51:50",23,"B2_R1",3,1,2,0.004882934,12.63053497,290.6820529,0.227553623,0.780944786,32.44718387,33.36711935,2.20041026,52.2927675,-6.1,"26.8",NA,"No","No",2,1
"103",2019-07-25,2019,206,"10:21:51",23,"B2_R1",3,1,3,0.009910508,20.85735945,267.6261716,0.311548536,0.828194567,38.15782903,39.69378387,3.281735117,47.0668757,-11.3,"29.8",NA,"No","No",2,1
"104",2019-07-25,2019,206,"13:11:11",23,"B2_R1",3,1,4,0.00615436,12.6356185,243.3873344,0.155736234,0.8031225,41.80526452,42.31661613,3.885190885,50.99149918,-10.2,"35.6",-9.9,"No","No",2,1
"105",2019-07-25,2019,206,"16:09:31",23,"B2_R1",3,1,5,0.008379345,11.78406077,216.1267902,0.130280721,0.780944786,42.25949355,43.96863871,6.344061771,22.02669176,-15.5,"35",NA,"No","No",2,1
"106",2019-07-25,2019,206,NA,23,"B2_R1",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"107",2019-07-25,2019,206,NA,23,"B2_R1",4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"108",2019-07-25,2019,206,NA,23,"B2_R1",4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"109",2019-07-25,2019,206,NA,23,"B2_R1",4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"110",2019-07-25,2019,206,NA,23,"B2_R1",4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"111",2019-07-25,2019,206,"5:44:57",23,"B2_R1",5,1,1,0.000203251,0.689374831,321.6029904,0.016323495,0.797689446,21.41816129,22.19456129,1.237824719,49.26985539,-2.5,NA,NA,"No","No",2,1
"112",2019-07-25,2019,206,"08:46:37",23,"B2_R1",5,1,2,0.006186223,14.3847049,306.9182145,0.313348668,0.780944786,31.78311613,33.12986129,2.066489032,52.0778748,-6,"25.5",NA,"No","No",2,1
"113",2019-07-25,2019,206,"10:27:35",23,"B2_R1",5,1,3,0.009739854,22.03991635,273.3607751,0.341566855,0.828194567,37.72543871,39.28436129,2.960845295,50.42862109,-9.8,"30",NA,"No","No",2,1
"114",2019-07-25,2019,206,"13:05:36",23,"B2_R1",5,1,4,0.011251499,18.60220578,285.2633547,0.342999824,0.8031225,40.95744839,42.46518065,3.369410041,52.46449773,-15.8,"33.4",-6.5,"No","No",2,1
"115",2019-07-25,2019,206,"16:05:43",23,"B2_R1",5,1,5,0.01195785,18.2215613,231.324853,0.210195092,0.780944786,41.9046129,43.68048387,5.706811455,27.72032358,-17.5,"32.4",NA,"No","No",2,1
"116",2019-07-25,2019,206,NA,23,"B2_R1",6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"117",2019-07-25,2019,206,NA,23,"B2_R1",6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"118",2019-07-25,2019,206,NA,23,"B2_R1",6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"119",2019-07-25,2019,206,NA,23,"B2_R1",6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"120",2019-07-25,2019,206,NA,23,"B2_R1",6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"121",2019-07-25,2019,206,NA,35,"B2_R2",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"122",2019-07-25,2019,206,NA,35,"B2_R2",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"123",2019-07-25,2019,206,NA,35,"B2_R2",1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"124",2019-07-25,2019,206,NA,35,"B2_R2",1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"125",2019-07-25,2019,206,NA,35,"B2_R2",1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"126",2019-07-25,2019,206,"05:21:35",35,"B2_R2",2,1,1,0.000113204,0.329343079,328.3085024,0.008507124,0.780953154,22.74632667,23.57365667,1.315288629,50.06394431,-3.9,NA,NA,"No","No",2,2
"127",2019-07-25,2019,206,"8:56:37",35,"B2_R2",2,1,2,0.002783826,11.44608601,226.5158082,0.120418926,0.8031225,32.57675806,33.05103548,2.317492298,51.62631821,-8.2,"27",NA,"No","No",2,2
"128",2019-07-25,2019,206,"11:09:13",35,"B2_R2",2,1,3,0.008671625,18.85834511,262.8438285,0.280199022,0.780944786,39.57841613,40.49123548,3.14975952,53.85420088,-11.7,"32.8",NA,"No","No",2,2
"129",2019-07-25,2019,206,"12:17:43",35,"B2_R2",2,1,4,0.011735801,19.26249218,289.1777714,0.366880286,0.828194567,39.65698387,41.06255161,3.319554664,50.46940419,-14.5,"32.5",-9.6,"No","No",2,2
"130",2019-07-25,2019,206,"17:12:27",35,"B2_R2",2,1,5,0.004238931,6.188790631,248.9041645,0.081760949,0.8031225,43.51803333,43.98282381,4.996158327,42.97374662,-13.5,"37.5",NA,"No","No",2,2
"131",2019-07-25,2019,206,"05:27:13",35,"B2_R2",3,1,1,7.10517e-05,-0.554645291,564.3213561,0.005069791,0.791601103,23.10712,23.57546,1.383749201,49.81451773,-2.3,NA,NA,"No","No",2,2
"132",2019-07-25,2019,206,"8:51:31",35,"B2_R2",3,1,2,0.00651111,14.57215805,323.289301,0.418892917,0.8031225,30.00824194,32.74100323,1.673318539,52.0008577,-7.5,"26.6",NA,"No","No",2,2
"133",2019-07-25,2019,206,"11:02:58",35,"B2_R2",3,1,3,0.008212705,17.65021017,273.5229977,0.280643889,0.780944786,38.80735806,39.64439677,2.985385877,54.5610429,-13.1,"30.5",NA,"No","No",2,2
"134",2019-07-25,2019,206,"12:27:05",35,"B2_R2",3,1,4,0.008929268,17.5280278,250.6620298,0.229234506,0.828194567,41.66129032,42.58139032,3.896672994,49.42583798,-15.2,"33.5",-9,"No","No",2,2
"135",2019-07-25,2019,206,"17:09:01",35,"B2_R2",3,1,5,0.007564453,14.14357162,232.6212557,0.163649981,0.8031225,43.56543333,43.84901905,4.52828296,48.66894202,-15.6,"33.7",NA,"No","No",2,2
"136",2019-07-25,2019,206,NA,35,"B2_R2",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"137",2019-07-25,2019,206,NA,35,"B2_R2",4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"138",2019-07-25,2019,206,NA,35,"B2_R2",4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"139",2019-07-25,2019,206,NA,35,"B2_R2",4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"140",2019-07-25,2019,206,NA,35,"B2_R2",4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA
"141",2019-07-25,2019,206,"05:31:20",35,"B2_R2",5,1,1,8.51599e-05,-0.560718055,528.8774528,0.00647841,0.79537764,22.51379333,23.42535333,1.29926166,49.72253023,-2.1,NA,NA,"No","No",2,2
"142",2019-07-25,2019,206,"8:46:00",35,"B2_R2",5,1,2,0.004663795,12.15285281,311.5394991,0.275119003,0.8031225,30.18622903,32.46665161,1.767418853,51.78442552,-8.1,"25.4",NA,"No","No",2,2
