"","date","hhmmss","BH455_leaf","BH455_BLOCK","BH455_VINE","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","day","year","round"
"30","07-05-2019","13:57:43",1,"B2_R3",1,"0.001841483","5.153095519","185.4847118","0.043017114",0.816962262,"40.83513226","40.91271613","4.128936335","46.53737779",186,2019,"midday"
"31","07-05-2019","13:59:11",1,"B2_R3",2,"0.000965034","3.081604102","171.8270073","0.023619135",0.816962262,"40.37371935","40.96861935","3.926187806","46.58941107",186,2019,"midday"
"32","07-05-2019","14:06:58",1,"B3_R2",1,"0.003135064","8.224748493","216.8901144","0.081204922",0.816962262,"40.11637742","40.13192581","3.764480784","49.49582108",186,2019,"midday"
"33","07-05-2019","14:08:03",1,"B3_R2",2,"0.004679971","13.46872308","221.0612188","0.136892604",0.816962262,"39.45613548","40.07484516","3.380121544","51.3320249",186,2019,"midday"
"34","07-05-2019","14:10:12",1,"B3_R2",3,"0.005147153","15.49772875","215.3947557","0.154574302",0.816962262,"39.76721935","40.21345161","3.30005106","53.63528657",186,2019,"midday"
"35","07-05-2019","14:11:30",1,"B3_R2",4,"0.005343412","9.157211046","291.3162983","0.166054429",0.816962262,"39.03544516","40.21136129","3.205602941","51.14120558",186,2019,"midday"
"36","07-05-2019","14:13:34",1,"B3_R2",5,"0.004951318","14.03366447","220.406622","0.145021682",0.816962262,"39.44146774","40.08484194","3.381897783","51.20474687",186,2019,"midday"
"37","07-05-2019","14:14:55",1,"B3_R2",6,"0.00526627","14.89262992","217.0460447","0.149531226",0.816962262,"39.61774516","40.16251935","3.492275805","50.43034682",186,2019,"midday"
"38","07-05-2019","14:36:43",1,"B2_R1",1,"0.0078301","17.79680773","276.6764386","0.279253169",0.816962262,"36.70593871","37.46318065","2.886623552","51.31056931",186,2019,"midday"
"39","07-05-2019","14:38:57",1,"B2_R1",2,"0.008267369","19.7119367","265.5453753","0.286118346",0.816962262,"37.16290323","38.2127","2.976184899","50.2638997",186,2019,"midday"
"40","07-05-2019","14:40:55",1,"B2_R1",3,"0.001558607","5.155776655","186.4373522","0.042487941",0.816962262,"39.02925161","38.92949355","3.555581608","49.74448252",186,2019,"midday"
"41","07-05-2019","14:43:42",1,"B2_R1",4,"0.005961462","15.03903427","237.1998874","0.177382578",0.816962262,"38.94256774","39.77523226","3.36066874","49.75077792",186,2019,"midday"
"42","07-05-2019","14:46:25",1,"B2_R1",5,"0.005346702","13.35937149","224.3369497","0.14512825",0.816962262,"39.97177742","40.3118","3.646605262","49.82564855",186,2019,"midday"
"43","07-05-2019","14:48:18",1,"B2_R1",6,"0.005354322","12.30031836","262.7416545","0.170909623",0.816962262,"38.89827097","40.4949","3.12465046","50.75751591",186,2019,"midday"
"44","07-05-2019","14:53:41",1,"B3_R1",1,"0.004299566","11.35831551","214.3880724","0.112483191",0.816962262,"40.42150323","40.50770968","3.748061198","50.33625724",186,2019,"midday"
"45","07-05-2019","14:56:25",1,"B3_R1",2,"0.003467571","12.21479163","180.044167","0.104678076",0.816962262,"39.18845484","40.62136774","3.250095414","50.21467589",186,2019,"midday"
"46","07-05-2019","14:58:19",1,"B3_R1",3,"0.005175066","14.604777","204.4143431","0.139332667",0.816962262,"40.27065806","40.59667097","3.666128526","50.37585849",186,2019,"midday"
"47","07-05-2019","15:00:20",1,"B3_R1",4,"0.003659229","8.627964835","245.965355","0.105620373",0.816962262,"39.98556129","40.84914839","3.391245505","51.78381721",186,2019,"midday"
"48","07-05-2019","15:02:27",1,"B3_R1",5,"0.002920513","7.996379919","219.5274841","0.080647628",0.816962262,"40.09236129","40.84874194","3.52422315","50.6168566",186,2019,"midday"
"49","07-05-2019","15:03:52",1,"B3_R1",6,"0.003196318","9.277973886","199.9297342","0.083546104",0.816962262,"40.61388065","41.01230968","3.721119619","50.34631525",186,2019,"midday"
"50","07-05-2019","15:09:56",1,"B2_R2",1,"0.000633323","1.735665079","194.9370925","0.015087996",0.816962262,"41.18886774","40.88819032","4.011462602","49.99797389",186,2019,"midday"
"51","07-05-2019","15:12:44",1,"B2_R2",2,"0.001346012","4.021905514","183.7561935","0.032951617",0.816962262,"41.26336129","41.40395161","3.917597097","50.21590696",186,2019,"midday"
"52","07-05-2019","15:14:45",1,"B2_R2",3,"0.003042466","8.706931386","188.5648562","0.074506998",0.816962262,"41.45729032","41.65124516","3.953120031","50.13541304",186,2019,"midday"
"53","07-05-2019","15:17:11",1,"B2_R2",4,"0.003711959","10.28831892","192.8351607","0.090169935",0.816962262,"41.88883548","42.19646452","3.993767621","50.44366734",186,2019,"midday"
"54","07-05-2019","15:19:42",1,"B2_R2",5,"0.001012123","2.909125175","179.2165055","0.023370577",0.816962262,"42.34254516","42.53255161","4.128573866","50.30672512",186,2019,"midday"
"55","07-05-2019","15:21:38",1,"B2_R2",6,"0.000705068","2.601460517","111.2374618","0.015565847",0.816962262,"42.7566129","42.88127097","4.305420008","49.48245122",186,2019,"midday"
"56","07-05-2019","15:24:50",1,"B3_R3",1,"0.001164387","2.453654474","224.6705309","0.025955274",0.816962262,"42.68750968","42.60351935","4.276229616","50.18650197",186,2019,"midday"
"57","07-05-2019","15:26:32",1,"B3_R3",2,"0.001683711","5.074535119","165.0855727","0.038318079",0.816962262,"42.57067742","43.02239355","4.201354423","49.35828769",186,2019,"midday"
"58","07-05-2019","15:28:33",1,"B3_R3",3,"5.09E-05","0.555890836","-425.0769889","0.001077872",0.816962262,"43.16652258","43.01667419","4.464899099","49.43732472",186,2019,"midday"
"59","07-05-2019","15:30:10",1,"B3_R3",4,"0.001649341","3.495734694","237.2074206","0.039907856",0.816962262,"42.4259","43.17644839","3.950734929","51.08740966",186,2019,"midday"
"60","07-05-2019","15:32:35",1,"B3_R3",5,"0.000566475","1.681050996","150.9927257","0.011824484",0.816962262,"43.55021613","43.4910129","4.538294767","49.39255677",186,2019,"midday"
"61","07-05-2019","15:34:35",1,"B3_R3",6,"0.00077753","1.711525282","208.3452281","0.016316644",0.816962262,"43.56057097","43.30267419","4.518341073","50.16085404",186,2019,"midday"
