"","X","date","year","day","hhmmss","pixel_number","BH_Block","BH_Vine","BH_Leaf","round","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","Leaf_wp_bar","Stem_wp_bar","Leak","wrong_vine","treatment","Rep","leaf_temp_C"
"21",11,"2019-07-01",2019,182,"7:15:29",35,"B1_R1",3,1,"1",0.001333996,-0.112849249,394.0871773,0.131023411,0.722566781,18.87875161,19.55204194,1.045317859,50.09118313,-5.4,NA,"No","No",2,2,NA
"22",11,"2019-07-25",2019,206,"5:20:06",34,"B1_R2",3,1,"1",0.000249141,-0.13846087,401.9758775,0.019984336,0.814767182,21.85899032,22.97553548,1.239370695,49.4185044,-4.2,NA,"No","No",1,2,NA
"23",12,"2019-07-01",2019,182,NA,35,"B1_R1",3,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"24",12,"2019-07-25",2019,206,"08:32:43",34,"B1_R2",3,1,"2",0.002445839,18.37813637,97.02986899,0.115085704,0.780944786,30.94025484,31.81957097,2.130759731,50.04244147,-5.1,NA,"No","No",1,2,"27.6"
"25",13,"2019-07-01",2019,182,NA,35,"B1_R1",3,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"26",13,"2019-07-25",2019,206,"10:42:02",34,"B1_R2",3,1,"3",0.007738278,18.38134343,249.874291,0.234327862,0.828194567,38.87350968,39.46611613,3.338909319,50.52262574,-13.5,NA,"No","No",1,2,"30.8"
"27",14,"2019-07-01",2019,182,NA,35,"B1_R1",3,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"28",14,"2019-07-25",2019,206,"12:55:58",34,"B1_R2",3,1,"4",0.003529045,11.89342912,151.9367411,0.083598636,0.8031225,41.6468129,42.02121613,4.08776944,48.51211655,-14.5,-9.9,"No","No",1,2,"36.6"
"29",15,"2019-07-01",2019,182,NA,35,"B1_R1",3,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"30",15,"2019-07-25",2019,206,"16:25:32",34,"B1_R2",3,1,"5",0.005621361,8.559498761,191.7809483,0.08063049,0.780944786,42.67794516,44.13120645,6.798348904,18.92587596,-16,NA,"No","No",1,2,"37.2"
"31",16,"2019-07-01",2019,182,"7:18:53",35,"B1_R1",4,1,"1",0.000683098,-0.749619225,412.2004017,0.062405828,0.733712207,19.44026774,19.98239677,1.105291453,49.53842982,-5.1,NA,"No","No",2,2,NA
"32",16,"2019-07-25",2019,206,NA,34,"B1_R2",4,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"33",17,"2019-07-01",2019,182,"10:37:33",35,"B1_R1",4,1,"2",0.004852865,14.64211216,252.4780835,0.209330408,0.774975295,33.62277419,34.14898387,2.359594153,53.30810403,-10.1,NA,"No","No",2,2,NA
"34",17,"2019-07-25",2019,206,NA,34,"B1_R2",4,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"35",18,"2019-07-01",2019,182,"14:24:23",35,"B1_R1",4,1,"3",0.004637924,10.80436356,246.5464173,0.146437467,0.774975295,38.32753548,39.10853226,3.13328301,51.54481373,-10.9,-9.8,"No","No",2,2,NA
"36",18,"2019-07-25",2019,206,NA,34,"B1_R2",4,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"37",19,"2019-07-01",2019,182,"16:37:17",35,"B1_R1",4,1,"4",0.001773953,6.582673934,177.723659,0.05364585,0.774975295,37.69728966,37.85591724,3.205119054,50.62051,-10.4,NA,"No","No",2,2,NA
"38",19,"2019-07-25",2019,206,NA,34,"B1_R2",4,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"39",20,"2019-07-01",2019,182,"18:53:39",35,"B1_R1",4,1,"5",0.002648433,7.137555757,270.1087775,0.109801001,0.774975295,33.24046129,34.00879677,2.393223353,51.0238148,-8.8,NA,"No","No",2,2,NA
"40",20,"2019-07-25",2019,206,NA,34,"B1_R2",4,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"41",21,"2019-07-01",2019,182,"7:23:37",35,"B1_R1",5,1,"1",0.001352393,-0.954370406,405.8808714,0.121497692,0.72659672,19.65704194,20.38207097,1.139705674,48.17603405,-5.2,NA,"No","No",2,2,NA
"42",21,"2019-07-25",2019,206,NA,34,"B1_R2",5,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"43",22,"2019-07-01",2019,182,NA,35,"B1_R1",5,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"44",22,"2019-07-25",2019,206,NA,34,"B1_R2",5,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"45",23,"2019-07-01",2019,182,NA,35,"B1_R1",5,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"46",23,"2019-07-25",2019,206,NA,34,"B1_R2",5,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"47",24,"2019-07-01",2019,182,NA,35,"B1_R1",5,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"48",24,"2019-07-25",2019,206,NA,34,"B1_R2",5,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"49",25,"2019-07-01",2019,182,NA,35,"B1_R1",5,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"50",25,"2019-07-25",2019,206,NA,34,"B1_R2",5,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"51",26,"2019-07-01",2019,182,"7:25:58",35,"B1_R1",6,1,"1",0.000973359,-0.547669437,402.9481152,0.087172373,0.782710009,19.97919032,20.62291935,1.133443099,49.6231199,-5,NA,"No","No",2,2,NA
"52",26,"2019-07-25",2019,206,"5:23:42",34,"B1_R2",6,1,"1",0.00025281,-0.374043637,421.0426376,0.020037676,0.768451822,21.99337097,23.01824839,1.254104818,49.53630464,-2.4,NA,"Yes","No",1,2,NA
"53",27,"2019-07-01",2019,182,"10:42:03",35,"B1_R1",6,1,"2",0.006611501,16.28575392,283.8806195,0.33738505,0.774975295,32.48052903,34.49466452,2.056823775,51.88579889,-9.3,NA,"No","No",2,2,NA
"54",27,"2019-07-25",2019,206,"08:26:26",34,"B1_R2",6,1,"2",0.004143139,16.14804522,255.600712,0.220227924,0.780944786,29.93610323,31.38067419,1.935840713,50.08422605,-3.9,NA,"Yes","No",1,2,"24.6"
"55",28,"2019-07-01",2019,182,"14:16:19",35,"B1_R1",6,1,"3",0.008006373,16.22232201,263.3202603,0.28335301,0.774975295,37.72789355,38.87829355,2.888053401,52.59716834,NA,NA,"No","No",2,2,NA
"56",28,"2019-07-25",2019,206,"10:48:48",34,"B1_R2",6,1,"3",0.013935377,27.00452917,285.0110558,0.487827773,0.828194567,37.27486774,39.50029355,3.070242467,46.1324511,-9.9,NA,"Yes","No",1,2,"27.8"
"57",29,"2019-07-01",2019,182,"16:56:58",35,"B1_R1",6,1,"4",0.001974489,6.65989623,215.7477869,0.067001076,0.774975295,36.06866897,36.32373103,2.876855572,51.26041642,NA,NA,"No","No",2,2,NA
"58",29,"2019-07-25",2019,206,"12:50:29",34,"B1_R2",6,1,"4",0.014367365,20.67143451,310.2104884,0.528285293,0.8031225,39.47339032,41.53096452,2.920148455,53.31381801,-14.5,-7.8,"Yes","No",1,2,"34.6"
"59",30,"2019-07-01",2019,182,NA,35,"B1_R1",6,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",2,2,NA
"60",30,"2019-07-25",2019,206,"16:23:26",34,"B1_R2",6,1,"5",0.016694591,20.63703354,268.5355067,0.348348031,0.780944786,41.35552581,43.88148387,4.95316569,33.14018995,-17,NA,"Yes","No",1,2,"32.1"
"61",31,"2019-07-01",2019,182,"6:13:30",45,"B1_R2",1,1,"1",0.00025807,-0.484060691,420.7719233,0.027658009,0.806596491,17.04077097,17.63337419,0.936184967,50.0693805,-8.5,NA,"No","No",3,1,NA
"62",31,"2019-07-25",2019,206,"05:51:16",55,"B1_R3",1,1,"1",0.000166646,-0.286314326,426.8359325,0.012823561,0.808676302,22.29738333,23.1268,1.286632942,49.81226364,-4.6,NA,"No","No",1,3,NA
"63",32,"2019-07-01",2019,182,"10:06:17",45,"B1_R2",1,1,"2",0.002071103,12.30590469,157.6348943,0.095735746,0.774975295,31.01056129,31.71446774,2.157316784,50.16074788,-11.2,NA,"No","No",3,1,NA
"64",32,"2019-07-25",2019,206,"8:28:13",55,"B1_R3",1,1,"2",0.00282396,10.56328825,269.2390566,0.149869427,0.8031225,30.19665806,31.64511935,1.909182272,51.27412144,-7,NA,"No","No",1,3,"24.1"
"65",33,"2019-07-01",2019,182,"13:51:54",45,"B1_R2",1,1,"3",0.005573992,5.243200793,324.7949806,0.181066408,0.774975295,37.82929032,38.4780871,3.076403024,51.51762872,NA,NA,"No","No",3,1,NA
"66",33,"2019-07-25",2019,206,"10:48:16",55,"B1_R3",1,1,"3",0.004477041,12.24165763,238.4409705,0.140820774,0.780944786,38.41374839,39.06042903,3.147532227,51.92514085,-13.5,NA,"No","No",1,3,"30"
"67",34,"2019-07-01",2019,182,"17:03:48",45,"B1_R2",1,1,"4",0.001241381,5.218251255,170.9278091,0.040384693,0.774975295,36.40515517,36.5114931,2.979846282,50.8770183,NA,NA,"No","No",3,1,NA
"68",34,"2019-07-25",2019,206,"13:28:14",55,"B1_R3",1,1,"4",0.005044416,8.316446061,246.0531983,0.105636343,0.828194567,44.32584194,44.58536129,4.596505961,49.9444193,-15.3,-14.2,"No","No",1,3,"37"
"69",35,"2019-07-01",2019,182,NA,45,"B1_R2",1,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"70",35,"2019-07-25",2019,206,"16:47:27",55,"B1_R3",1,1,"5",0.005603456,9.792391228,209.9846153,0.099669265,0.8031225,45.58912857,45.16348571,5.392142188,46.73933878,-16,NA,"No","No",1,3,"36.3"
"71",36,"2019-07-01",2019,182,"6:17:50",45,"B1_R2",2,1,"1",0.000408606,-0.098587549,397.1285023,0.045830531,0.799238315,16.63055161,17.37323548,0.898704031,50.26491421,-7.1,NA,"No","No",3,1,NA
"72",36,"2019-07-25",2019,206,NA,55,"B1_R3",2,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"73",37,"2019-07-01",2019,182,NA,45,"B1_R2",2,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"74",37,"2019-07-25",2019,206,NA,55,"B1_R3",2,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"75",38,"2019-07-01",2019,182,NA,45,"B1_R2",2,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"76",38,"2019-07-25",2019,206,NA,55,"B1_R3",2,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"77",39,"2019-07-01",2019,182,NA,45,"B1_R2",2,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"78",39,"2019-07-25",2019,206,NA,55,"B1_R3",2,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"79",40,"2019-07-01",2019,182,NA,45,"B1_R2",2,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"80",40,"2019-07-25",2019,206,NA,55,"B1_R3",2,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"81",41,"2019-07-01",2019,182,"6:23:32",45,"B1_R2",3,1,"1",0.000421695,-0.474176274,410.0359223,0.046024256,0.748874089,16.67054839,17.25841613,0.92379231,49.60641955,-3.9,NA,"No","No",3,1,NA
"82",41,"2019-07-25",2019,206,NA,55,"B1_R3",3,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"83",42,"2019-07-01",2019,182,NA,45,"B1_R2",3,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"84",42,"2019-07-25",2019,206,NA,55,"B1_R3",3,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"85",43,"2019-07-01",2019,182,NA,45,"B1_R2",3,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"86",43,"2019-07-25",2019,206,NA,55,"B1_R3",3,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"87",44,"2019-07-01",2019,182,NA,45,"B1_R2",3,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"88",44,"2019-07-25",2019,206,NA,55,"B1_R3",3,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"89",45,"2019-07-01",2019,182,NA,45,"B1_R2",3,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"90",45,"2019-07-25",2019,206,NA,55,"B1_R3",3,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"91",46,"2019-07-01",2019,182,"6:28:30",45,"B1_R2",4,1,"1",0.000310181,-0.790136167,432.7046642,0.03442492,0.814297631,16.45428065,17.12235806,0.906036689,49.61416583,-6.5,NA,"No","No",3,1,NA
"92",46,"2019-07-25",2019,206,"05:54:35",55,"B1_R3",4,1,"1",6.34773e-05,-0.306975186,491.70505,0.004863172,0.82205989,22.35157667,23.19742,1.289647552,49.80711901,-4.5,NA,"No","No",1,3,NA
"93",47,"2019-07-01",2019,182,"10:16:44",45,"B1_R2",4,1,"2",0.002197089,9.413195629,218.8616009,0.097416073,0.774975295,32.41896452,33.44661613,2.242494079,51.09761258,-12.7,NA,"No","No",3,1,NA
"94",47,"2019-07-25",2019,206,"8:34:12",55,"B1_R3",4,1,"2",0.002738631,10.10577662,258.8525081,0.130853761,0.8031225,31.01459677,31.78718387,2.108985912,51.0007844,-8,NA,"No","No",1,3,"25.1"
"95",48,"2019-07-01",2019,182,"13:41:30",45,"B1_R2",4,1,"3",0.000622786,3.69797461,48.69334523,0.017805749,0.774975295,37.80383871,37.35066452,3.367888187,50.08814913,-15,-11.6,"No","No",3,1,NA
"96",48,"2019-07-25",2019,206,"10:41:46",55,"B1_R3",4,1,"3",0.004327592,10.53731736,240.6615409,0.126738064,0.780944786,38.90450645,39.03257742,3.366704206,51.48362213,-13.8,NA,"No","No",1,3,"34.5"
"97",49,"2019-07-01",2019,182,"17:09:43",45,"B1_R2",4,1,"4",0.001274528,5.172964927,178.1166081,0.041483239,0.774975295,36.35899655,36.29253103,2.979739783,51.2388212,-10.3,NA,"No","No",3,1,NA
"98",49,"2019-07-25",2019,206,"13:24:49",55,"B1_R3",4,1,"4",0.002801454,4.510946954,238.6967365,0.054244468,0.828194567,44.94462581,44.51901613,4.902572712,50.07949278,-15.4,-13.8,"No","No",1,3,"41"
"99",50,"2019-07-01",2019,182,"19:02:49",45,"B1_R2",4,1,"5",0.00054482,1.259718863,293.3682271,0.022457586,0.774975295,32.85497097,33.5741129,2.359220969,50.82742912,-10.4,NA,"No","No",3,1,NA
"100",50,"2019-07-25",2019,206,"16:43:43",55,"B1_R3",4,1,"5",0.003344816,4.950041848,239.1076607,0.061263757,0.8031225,44.82161429,45.19084286,5.204967089,44.64083811,-20,NA,"No","No",1,3,"35.6"
"101",51,"2019-07-01",2019,182,"6:33:15",45,"B1_R2",5,1,"1",0.000486003,0.050992477,390.9889163,0.052967922,0.795749555,16.70626452,17.29162903,0.926605553,49.57869637,-5.4,NA,"No","No",3,1,NA
"102",51,"2019-07-25",2019,206,"05:58:19",55,"B1_R3",5,1,"1",5.57029e-05,-0.366493253,529.4495538,0.004210953,0.828194567,22.51728,23.32674667,1.306559678,49.78573302,-3.5,NA,"No","No",1,3,NA
"103",52,"2019-07-01",2019,182,"10:23:42",45,"B1_R2",5,1,"2",0.003039241,12.87366889,225.5106207,0.143642808,0.774975295,32.4377871,33.56979355,2.125358198,53.09173645,-10.6,NA,"No","No",3,1,NA
"104",52,"2019-07-25",2019,206,"8:38:32",55,"B1_R3",5,1,"2",0.003281402,11.42863074,259.8431675,0.151082061,0.8031225,31.46872258,32.11641935,2.19749148,50.67715821,-7.4,NA,"No","No",1,3,"26.7"
"105",53,"2019-07-01",2019,182,"13:57:15",45,"B1_R2",5,1,"3",0.004527875,11.59332712,226.325081,0.135727649,0.774975295,38.47720968,38.82554839,3.294316489,50.81297808,NA,NA,"No","No",3,1,NA
"106",53,"2019-07-25",2019,206,"10:34:43",55,"B1_R3",5,1,"3",0.003053323,13.43742394,157.3827735,0.097810125,0.780944786,37.61325806,37.99633871,3.067362186,51.85809701,-13.4,NA,"No","No",1,3,"34.1"
"107",54,"2019-07-01",2019,182,"17:16:49",45,"B1_R2",5,1,"4",0.002853378,9.305396152,214.7441883,0.09586477,0.774975295,36.34746207,36.43936897,2.923786328,51.6800703,NA,NA,"No","No",3,1,NA
"108",54,"2019-07-25",2019,206,"13:20:08",55,"B1_R3",5,1,"4",0.004487554,6.422015422,252.9564725,0.087529444,0.828194567,44.04851613,44.44006452,4.930563854,45.33409856,-14.9,NA,"No","No",1,3,"40"
"109",55,"2019-07-01",2019,182,NA,45,"B1_R2",5,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"110",55,"2019-07-25",2019,206,"16:40:04",55,"B1_R3",5,1,"5",0.00360334,5.749221668,245.8649499,0.072957324,0.8031225,44.01701905,44.98499048,4.729852478,46.00365043,-18,NA,"No","No",1,3,"37.5"
"111",56,"2019-07-01",2019,182,"6:36:10",45,"B1_R2",6,1,"1",0.000435621,-0.261803194,402.8403281,0.049210646,0.803405243,16.4836129,17.35090968,0.893281342,49.72006558,-6.1,NA,"No","No",3,1,NA
"112",56,"2019-07-25",2019,206,NA,55,"B1_R3",6,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"113",57,"2019-07-01",2019,182,NA,45,"B1_R2",6,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"114",57,"2019-07-25",2019,206,NA,55,"B1_R3",6,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"115",58,"2019-07-01",2019,182,NA,45,"B1_R2",6,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"116",58,"2019-07-25",2019,206,NA,55,"B1_R3",6,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"117",59,"2019-07-01",2019,182,NA,45,"B1_R2",6,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"118",59,"2019-07-25",2019,206,NA,55,"B1_R3",6,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"119",60,"2019-07-01",2019,182,NA,45,"B1_R2",6,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",3,1,NA
"120",60,"2019-07-25",2019,206,NA,55,"B1_R3",6,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"121",61,"2019-07-01",2019,182,"6:42:35",55,"B1_R3",1,1,"1",0.000436003,-0.368374766,406.3840625,0.04724394,0.799029274,16.84455806,17.43294516,0.930261913,49.79709488,-5.1,NA,"No","No",1,1,NA
"122",61,"2019-07-25",2019,206,NA,67,"B1_R4",1,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"123",62,"2019-07-01",2019,182,"11:01:51",55,"B1_R3",1,1,"2",0.003356039,12.10960459,238.0381053,0.148911246,0.774975295,33.06014516,34.7852871,2.263387814,50.26943629,-14.1,NA,"No","No",1,1,NA
"124",62,"2019-07-25",2019,206,NA,67,"B1_R4",1,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"125",63,"2019-07-01",2019,182,"14:42:29",55,"B1_R3",1,1,"3",0.00375354,10.53053607,215.4621729,0.112379351,0.774975295,38.17498387,38.34963871,3.280902084,50.70065898,NA,NA,"No","No",1,1,NA
"126",63,"2019-07-25",2019,206,NA,67,"B1_R4",1,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"127",64,"2019-07-01",2019,182,"17:22:42",55,"B1_R3",1,1,"4",0.001550056,6.21277795,165.4659925,0.047358541,0.774975295,37.33525517,37.2109,3.169793759,50.97946915,NA,NA,"No","No",1,1,NA
"128",64,"2019-07-25",2019,206,NA,67,"B1_R4",1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"129",65,"2019-07-01",2019,182,NA,55,"B1_R3",1,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",1,1,NA
"130",65,"2019-07-25",2019,206,NA,67,"B1_R4",1,1,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA
"131",66,"2019-07-01",2019,182,"6:46:42",55,"B1_R3",2,1,"1",0.000579275,-0.391471933,403.741637,0.061876098,0.796087586,17.08590323,17.67712581,0.946807881,49.68304958,-7.5,NA,"No","No",1,1,NA
"132",66,"2019-07-25",2019,206,"05:36:41",67,"B1_R4",2,1,"1",0.000166473,1.375709186,194.5421936,0.011638846,0.795397125,23.67462903,24.34348065,1.413191484,49.83904666,-2.1,NA,"No","No",1,1,NA
"133",67,"2019-07-01",2019,182,NA,55,"B1_R3",2,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",1,1,NA
"134",67,"2019-07-25",2019,206,"08:46:27",67,"B1_R4",2,1,"2",0.003293801,10.37186257,269.2435742,0.145973975,0.828194567,32.50283226,33.67841935,2.269280161,50.37050781,-7.1,NA,"No","No",1,1,"26.6"
"135",68,"2019-07-01",2019,182,NA,55,"B1_R3",2,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",1,1,NA
"136",68,"2019-07-25",2019,206,"10:21:21",67,"B1_R4",2,1,"3",0.003057145,10.19537097,200.2260468,0.091024905,0.8031225,37.11215484,35.84154839,3.309947086,51.26984236,-13.4,NA,"No","No",1,1,"30.4"
"137",69,"2019-07-01",2019,182,NA,55,"B1_R3",2,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",1,1,NA
