"","date","day","year","block_id","round","leaf_temp","Leak","wrong_vine","pixel_number","treatment","BLOCK","SUB_BLOCK","LEAF","VINE","stem_wp_MPa","leaf_wp_MPa"
"67","6/15/21",166,2021,"B2R2_NW",1,NA,"no","no",24,2,"B2R2","_NW","_1","_5.4",NA,-0.56
"68","6/15/21",166,2021,"B2R2_SW",1,NA,"no","no",26,2,"B2R2","_SW","_1","_5.10",NA,-0.55
"69","6/15/21",166,2021,"B2R2_SW",1,NA,"no","no",35,2,"B2R2","_SW","_1","_5.13",NA,-0.64
"70","6/15/21",166,2021,"B2R3_NW",1,NA,"no","no",47,2,"B2R3","_NW","_1","_5.7",NA,-0.46
"71","6/15/21",166,2021,"B2R3_NW",1,NA,"no","no",48,2,"B2R3","_NW","_1","_5.14",NA,-0.62
"72","6/15/21",166,2021,"B2R3_SE",1,NA,"no","no",50,2,"B2R3","_SE","_1","_5.5",NA,-0.7
"73","6/15/21",166,2021,"B3R1_NW",1,NA,"no","no",18,3,"B3R1","_NW","_1","_5.6",NA,-0.51
"74","6/15/21",166,2021,"B3R1_SW",1,NA,"no","no",20,3,"B3R1","_SW","_1","_5.9",NA,-0.57
"75","6/15/21",166,2021,"B3R1_SW",1,NA,"no","no",29,3,"B3R1","_SW","_1","_5.14",NA,-0.69
"76","6/15/21",166,2021,"B3R2_NE",1,NA,"no","no",34,3,"B3R2","_NE","_1","_5.14",NA,-0.68
"77","6/15/21",166,2021,"B3R2_NE",1,NA,"no","no",43,3,"B3R2","_NE","_1","_5.7",NA,-0.74
"78","6/15/21",166,2021,"B3R2_SE",1,NA,"no","no",45,3,"B3R2","_SE","_1","_5.7",NA,-0.75
"79","6/15/21",166,2021,"B3R3_NE",1,NA,"no","no",54,3,"B3R3","_NE","_1","_5.9",NA,-0.71
"80","6/15/21",166,2021,"B3R3_NE",1,NA,"no","no",63,3,"B3R3","_NE","_1","_5.12",NA,-0.72
"81","6/15/21",166,2021,"B3R3_SE",1,NA,"no","no",65,3,"B3R3","_SE","_1","_5.3",NA,-0.58
"82","6/17/21",168,2021,"B1R1_NW",4,39,NA,"no",4,1,"B1R1","_NW","_1","_5.14",-1.32,-1.58
"83","6/17/21",168,2021,"B1R1_SE",4,42.9,NA,"no",6,1,"B1R1","_SE","_1","_5.3",-1.05,-0.7
"84","6/17/21",168,2021,"B1R1_SE",4,44,NA,"no",15,1,"B1R1","_SE","_1","_5.10",-1.1,-1.5
"85","6/17/21",168,2021,"B1R3_NE",4,40.8,NA,"no",53,1,"B1R3","_NE","_1","_5.14",-1,-1.47
"86","6/17/21",168,2021,"B1R3_SE",4,40.5,NA,"no",46,1,"B1R3","_SE","_1","_5.6",-0.95,-1.55
"87","6/17/21",168,2021,"B1R3_SE",4,39.4,NA,"no",55,1,"B1R3","_SE","_1","_5.10",-1,-1.45
"88","6/17/21",168,2021,"B1R4_NW",4,41,NA,"no",67,1,"B1R4","_NW","_1","_5.14",-1.12,-1.45
"89","6/17/21",168,2021,"B1R4_SE",4,42.6,NA,"no",60,1,"B1R4","_SE","_1","_5.10",-1.15,-1.55
"90","6/17/21",168,2021,"B1R4_SE",4,35.3,NA,"no",69,1,"B1R4","_SE","_1","_5.6",-1.05,-1.5
"91","6/17/21",168,2021,"B2R1_NW",4,37.9,NA,"no",14,2,"B2R1","_NW","_1","_5.5",-1.06,-1.16
"92","6/17/21",168,2021,"B2R1_NW",4,37.9,NA,"no",23,2,"B2R1","_NW","_1","_5.10",-1.04,-1.57
"93","6/17/21",168,2021,"B2R1_SW",4,41.2,NA,"no",16,2,"B2R1","_SW","_1","_5.3",-1,-1.55
"94","6/17/21",168,2021,"B2R2_NW",4,40.4,NA,"no",24,2,"B2R2","_NW","_1","_5.4",-1.07,-1.37
"95","6/17/21",168,2021,"B2R2_SW",4,42.4,NA,"no",26,2,"B2R2","_SW","_1","_5.10",-1,-1.5
"96","6/17/21",168,2021,"B2R2_SW",4,43.1,NA,"no",35,2,"B2R2","_SW","_1","_5.13",-0.85,-1.35
"97","6/17/21",168,2021,"B2R3_NW",4,37,NA,"no",47,2,"B2R3","_NW","_1","_5.7",-1,-1.39
"98","6/17/21",168,2021,"B2R3_NW",4,36,NA,"no",48,2,"B2R3","_NW","_1","_5.14",-0.95,-1.45
"99","6/17/21",168,2021,"B2R3_SE",4,35.3,NA,"no",50,2,"B2R3","_SE","_1","_5.5",-0.95,-1.65
"100","6/17/21",168,2021,"B3R1_NW",4,40.2,NA,"no",18,3,"B3R1","_NW","_1","_5.6",-0.9,-1.48
"101","6/17/21",168,2021,"B3R1_SW",4,40.8,NA,"no",20,3,"B3R1","_SW","_1","_5.9",-0.95,-1.5
"102","6/17/21",168,2021,"B3R1_SW",4,35.6,NA,"no",29,3,"B3R1","_SW","_1","_5.14",-1.05,-1.45
"103","6/17/21",168,2021,"B3R2_NE",4,38.7,NA,"no",34,3,"B3R2","_NE","_1","_5.14",-1.1,-1.52
"104","6/17/21",168,2021,"B3R2_NE",4,38.6,NA,"no",43,3,"B3R2","_NE","_1","_5.7",-1.03,-1.38
"105","6/17/21",168,2021,"B3R2_SE",4,NA,NA,"no",45,3,"B3R2","_SE","_1","_5.7",-0.9,-1.4
"106","6/17/21",168,2021,"B3R3_NE",4,37.5,NA,"no",54,3,"B3R3","_NE","_1","_5.9",-1.15,-1.6
"107","6/17/21",168,2021,"B3R3_NE",4,39.5,NA,"no",63,3,"B3R3","_NE","_1","_5.12",-1.1,-1.4
"108","6/17/21",168,2021,"B3R3_SE",4,36.5,NA,"no",65,3,"B3R3","_SE","_1","_5.3",-0.55,-1.25
"109","6/17/21",168,2021,"B1R1_NW",1,NA,"no","no",4,1,"B1R1","_NW","_1","_5.14",NA,-0.39
"110","6/17/21",168,2021,"B1R1_SE",1,NA,"no","no",6,1,"B1R1","_SE","_1","_5.3",NA,-0.8
"111","6/17/21",168,2021,"B1R1_SE",1,NA,"no","no",15,1,"B1R1","_SE","_1","_5.10",NA,-0.7
"112","6/17/21",168,2021,"B1R3_NE",1,NA,"no","no",53,1,"B1R3","_NE","_1","_5.14",NA,-0.27
"113","6/17/21",168,2021,"B1R3_SE",1,NA,"no","no",46,1,"B1R3","_SE","_1","_5.6",NA,-0.6
"114","6/17/21",168,2021,"B1R3_SE",1,NA,"no","no",55,1,"B1R3","_SE","_1","_5.10",NA,-0.62
"115","6/17/21",168,2021,"B1R4_NW",1,NA,"no","no",67,1,"B1R4","_NW","_1","_5.14",NA,-0.4
"116","6/17/21",168,2021,"B1R4_SE",1,NA,"no","no",60,1,"B1R4","_SE","_1","_5.10",NA,-0.64
"117","6/17/21",168,2021,"B1R4_SE",1,NA,"no","no",69,1,"B1R4","_SE","_1","_5.6",NA,-0.72
"118","6/17/21",168,2021,"B2R1_NW",1,NA,"no","no",14,2,"B2R1","_NW","_1","_5.5",NA,-0.11
"119","6/17/21",168,2021,"B2R1_NW",1,NA,"no","no",23,2,"B2R1","_NW","_1","_5.10",NA,-0.24
"120","6/17/21",168,2021,"B2R1_SW",1,NA,"no","no",16,2,"B2R1","_SW","_1","_5.3",NA,-0.52
"121","6/17/21",168,2021,"B2R2_NW",1,NA,"no","no",24,2,"B2R2","_NW","_1","_5.4",NA,-0.23
"122","6/17/21",168,2021,"B2R2_SW",1,NA,"no","no",26,2,"B2R2","_SW","_1","_5.10",NA,-0.32
"123","6/17/21",168,2021,"B2R2_SW",1,NA,"no","no",35,2,"B2R2","_SW","_1","_5.13",NA,-0.4
"124","6/17/21",168,2021,"B2R3_NW",1,NA,"no","no",47,2,"B2R3","_NW","_1","_5.7",NA,-0.24
"125","6/17/21",168,2021,"B2R3_NW",1,NA,"no","no",48,2,"B2R3","_NW","_1","_5.14",NA,-0.26
"126","6/17/21",168,2021,"B2R3_SE",1,NA,"no","no",50,2,"B2R3","_SE","_1","_5.5",NA,-0.46
"127","6/17/21",168,2021,"B3R1_NW",1,NA,"no","no",18,3,"B3R1","_NW","_1","_5.6",NA,-0.68
"128","6/17/21",168,2021,"B3R1_SW",1,NA,"no","no",20,3,"B3R1","_SW","_1","_5.9",NA,-0.6
"129","6/17/21",168,2021,"B3R1_SW",1,NA,"no","no",29,3,"B3R1","_SW","_1","_5.14",NA,-0.48
"130","6/17/21",168,2021,"B3R2_NE",1,NA,"no","no",34,3,"B3R2","_NE","_1","_5.15",NA,-0.3
"131","6/17/21",168,2021,"B3R2_NE",1,NA,"no","no",43,3,"B3R2","_NE","_1","_5.7",NA,-0.19
"132","6/17/21",168,2021,"B3R2_SE",1,NA,"no","no",45,3,"B3R2","_SE","_1","_5.7",NA,-0.38
"133","6/17/21",168,2021,"B3R3_NE",1,NA,"no","no",54,3,"B3R3","_NE","_1","_5.9",NA,-0.33
"134","6/17/21",168,2021,"B3R3_NE",1,NA,"no","no",63,3,"B3R3","_NE","_1","_5.12",NA,-0.27
"135","6/17/21",168,2021,"B3R3_SE",1,NA,"no","no",65,3,"B3R3","_SE","_1","_5.3",NA,-0.68
"136","6/22/21",173,2021,"B1R1_NW",4,34.8,NA,"no",4,1,"B1R1","_NW","_1","_5.14",-1.08,-1.37
"137","6/22/21",173,2021,"B1R1_SE",4,30.8,NA,"no",6,1,"B1R1","_SE","_1","_5.3",-1.04,-1.12
"138","6/22/21",173,2021,"B1R1_SE",4,34.8,NA,"no",15,1,"B1R1","_SE","_1","_5.10",-0.92,-1.17
"139","6/22/21",173,2021,"B1R3_NE",4,36.9,NA,"no",53,1,"B1R3","_NE","_1","_5.14",-0.93,-1.19
"140","6/22/21",173,2021,"B1R3_SE",4,30.3,NA,"no",46,1,"B1R3","_SE","_1","_5.6",-1,-1.2
"141","6/22/21",173,2021,"B1R3_SE",4,30.5,NA,"no",55,1,"B1R3","_SE","_1","_5.10",-0.975,-1.15
"142","6/22/21",173,2021,"B1R4_NW",4,35.5,NA,"no",67,1,"B1R4","_NW","_1","_5.14",-0.95,-1.2
"143","6/22/21",173,2021,"B1R4_SE",4,30.5,NA,"no",60,1,"B1R4","_SE","_1","_5.10",-1,-1.3
"144","6/22/21",173,2021,"B1R4_SE",4,24.8,NA,"no",69,1,"B1R4","_SE","_1","_5.6",-0.96,-1.25
"145","6/22/21",173,2021,"B2R1_NW",4,32.4,NA,"no",14,2,"B2R1","_NW","_1","_5.5",-0.86,-1.23
"146","6/22/21",173,2021,"B2R1_NW",4,35.4,NA,"no",23,2,"B2R1","_NW","_1","_5.10",-0.87,-1.39
"147","6/22/21",173,2021,"B2R1_SW",4,32.8,NA,"no",16,2,"B2R1","_SW","_1","_5.3",-1.02,-1.38
"148","6/22/21",173,2021,"B2R2_NW",4,35.2,NA,"no",24,2,"B2R2","_NW","_1","_5.4",-0.87,-1.22
"149","6/22/21",173,2021,"B2R2_SW",4,26.8,NA,"no",26,2,"B2R2","_SW","_1","_5.10",-0.98,-1.2
"150","6/22/21",173,2021,"B2R2_SW",4,29.5,NA,"no",35,2,"B2R2","_SW","_1","_5.13",-0.93,-1.46
"151","6/22/21",173,2021,"B2R3_NW",4,31.6,NA,"no",47,2,"B2R3","_NW","_1","_5.7",-0.6,NA
"152","6/22/21",173,2021,"B2R3_NW",4,30.1,NA,"no",48,2,"B2R3","_NW","_1","_5.14",-0.67,-1.09
"153","6/22/21",173,2021,"B2R3_SE",4,30.8,NA,"no",50,2,"B2R3","_SE","_1","_5.5",-0.86,-1.16
"154","6/22/21",173,2021,"B3R1_NW",4,26.5,NA,"no",18,3,"B3R1","_NW","_1","_5.6",-0.62,-1.15
"155","6/22/21",173,2021,"B3R1_SW",4,25.9,NA,"no",20,3,"B3R1","_SW","_1","_5.9",-0.7,-1.1
"156","6/22/21",173,2021,"B3R1_SW",4,26.5,NA,"no",29,3,"B3R1","_SW","_1","_5.14",-0.65,-0.66
"157","6/22/21",173,2021,"B3R2_NE",4,32.8,NA,"no",34,3,"B3R2","_NE","_1","_5.14",-0.8,-1.24
"158","6/22/21",173,2021,"B3R2_NE",4,36.1,NA,"no",43,3,"B3R2","_NE","_1","_5.7",-0.82,-1.19
"159","6/22/21",173,2021,"B3R2_SE",4,32.9,NA,"no",45,3,"B3R2","_SE","_1","_5.7",-0.75,-1.2
"160","6/22/21",173,2021,"B3R3_NE",4,29.1,NA,"no",54,3,"B3R3","_NE","_1","_5.9",-0.71,-1.13
"161","6/22/21",173,2021,"B3R3_NE",4,30,NA,"no",63,3,"B3R3","_NE","_1","_5.12",-0.73,-1.18
"162","6/22/21",173,2021,"B3R3_SE",4,26.4,NA,"no",65,3,"B3R3","_SE","_1","_5.3",-0.8,-1.15
"163","6/22/21",173,2021,"B1R1_NW",1,NA,"no","no",4,1,"B1R1","_NW","_1","_5.14",NA,-0.61
"164","6/22/21",173,2021,"B1R1_SE",1,NA,"no","no",6,1,"B1R1","_SE","_1","_5.3",NA,-0.7
"165","6/22/21",173,2021,"B1R1_SE",1,NA,"no","no",15,1,"B1R1","_SE","_1","_5.10",NA,NA
"166","6/22/21",173,2021,"B1R3_NE",1,NA,"no","no",53,1,"B1R3","_NE","_1","_5.14",NA,-0.39
"167","6/22/21",173,2021,"B1R3_SE",1,NA,"no","no",46,1,"B1R3","_SE","_1","_5.6",NA,-0.61
"168","6/22/21",173,2021,"B1R3_SE",1,NA,"no","no",55,1,"B1R3","_SE","_1","_5.10",NA,NA
"169","6/22/21",173,2021,"B1R4_NW",1,NA,"no","no",67,1,"B1R4","_NW","_1","_5.14",NA,-0.63
"170","6/22/21",173,2021,"B1R4_SE",1,NA,"no","no",60,1,"B1R4","_SE","_1","_5.10",NA,-0.9
"171","6/22/21",173,2021,"B1R4_SE",1,NA,"no","no",69,1,"B1R4","_SE","_1","_5.6",NA,-0.76
"172","6/22/21",173,2021,"B2R1_NW",1,NA,"no","no",14,2,"B2R1","_NW","_1","_5.5",NA,-0.44
"173","6/22/21",173,2021,"B2R1_NW",1,NA,"no","no",23,2,"B2R1","_NW","_1","_5.10",NA,-0.3
"174","6/22/21",173,2021,"B2R1_SW",1,NA,"no","no",16,2,"B2R1","_SW","_1","_5.3",NA,-0.7
"175","6/22/21",173,2021,"B2R2_NW",1,NA,"no","no",24,2,"B2R2","_NW","_1","_5.4",NA,-0.31
"176","6/22/21",173,2021,"B2R2_SW",1,NA,"no","no",26,2,"B2R2","_SW","_1","_5.10",NA,-0.6
"177","6/22/21",173,2021,"B2R2_SW",1,NA,"no","no",35,2,"B2R2","_SW","_1","_5.13",NA,-0.75
"178","6/22/21",173,2021,"B2R3_NW",1,NA,"no","no",47,2,"B2R3","_NW","_1","_5.7",NA,-0.25
"179","6/22/21",173,2021,"B2R3_NW",1,NA,"no","no",48,2,"B2R3","_NW","_1","_5.14",NA,-0.27
"180","6/22/21",173,2021,"B2R3_SE",1,NA,"no","no",50,2,"B2R3","_SE","_1","_5.5",NA,-0.53
"181","6/22/21",173,2021,"B3R1_NW",1,NA,"no","no",18,3,"B3R1","_NW","_1","_5.6",NA,-0.3
"182","6/22/21",173,2021,"B3R1_SW",1,NA,"no","no",20,3,"B3R1","_SW","_1","_5.9",NA,-0.4
"183","6/22/21",173,2021,"B3R1_SW",1,NA,"no","no",29,3,"B3R1","_SW","_1","_5.14",NA,-0.45
"184","6/22/21",173,2021,"B3R2_NE",1,NA,"no","no",34,3,"B3R2","_NE","_1","_5.15",NA,-0.25
"185","6/22/21",173,2021,"B3R2_NE",1,NA,"no","no",43,3,"B3R2","_NE","_1","_5.7",NA,-0.25
"186","6/22/21",173,2021,"B3R2_SE",1,NA,"no","no",45,3,"B3R2","_SE","_1","_5.7",NA,-0.75
"187","6/22/21",173,2021,"B3R3_NE",1,NA,"no","no",54,3,"B3R3","_NE","_1","_5.9",NA,-0.22
"188","6/22/21",173,2021,"B3R3_NE",1,NA,"no","no",63,3,"B3R3","_NE","_1","_5.12",NA,-0.31
"189","6/22/21",173,2021,"B3R3_SE",1,NA,"no","no",65,3,"B3R3","_SE","_1","_5.3",NA,-0.55
"190","6/30/21",181,2021,"B1R1_NE",4,36.2,"no","no",4,1,"B1R1","_NE","_1","_5.12",-1.11,-1.42
"191","6/30/21",181,2021,"B1R1_NE",4,39.9,"no","no",13,1,"B1R1","_NE","_1","_5.3",-1.2,-1.38
"192","6/30/21",181,2021,"B1R1_SW",4,33.5,"no","no",6,1,"B1R1","_SW","_1","_5.8",-1,-1.4
"193","6/30/21",181,2021,"B1R3_NW",4,35.6,"no","no",44,1,"B1R3","_NW","_1","_5.6",-1.2,-1.46
"194","6/30/21",181,2021,"B1R3_NW",4,36.4,"no","no",53,1,"B1R3","_NW","_1","_5.11",-1.04,-1.32
"195","6/30/21",181,2021,"B1R3_SW",4,31.1,"no","no",46,1,"B1R3","_SW","_1","_5.4",-1,-1.3
"196","6/30/21",181,2021,"B1R4_NE",4,40.3,"no","no",58,1,"B1R4","_NE","_1","_5.10",-1.15,-1.42
"197","6/30/21",181,2021,"B1R4_NE",4,39.7,"no","no",67,1,"B1R4","_NE","_1","_5.14",-1.14,-1.51
"198","6/30/21",181,2021,"B1R4_SW",4,28,"no","no",60,1,"B1R4","_SW","_1","_5.7",-1,-1.28
"199","6/30/21",181,2021,"B2R1_NE",4,37.7,"no","no",23,2,"B2R1","_NE","_1","_5.7",-1.07,-1.5
"200","6/30/21",181,2021,"B2R1_SE",4,32.1,"no","no",16,2,"B2R1","_SE","_1","_5.11",-1.05,-1.4
"201","6/30/21",181,2021,"B2R1_SE",4,30.1,"no","no",25,2,"B2R1","_SE","_1","_5.7",-1.05,-1.35
"202","6/30/21",181,2021,"B2R2_NE",4,42.5,"no","no",24,2,"B2R2","_NE","_1","_5.4",-1.08,-1.27
"203","6/30/21",181,2021,"B2R2_NE",4,32.7,"no","no",33,2,"B2R2","_NE","_1","_5.12",-0.8,-1.2
"204","6/30/21",181,2021,"B2R2_SE",4,34.2,"no","no",35,2,"B2R2","_SE","_1","_5.3",-1.02,-1.3
"205","6/30/21",181,2021,"B2R3_NE",4,41.3,"no","no",48,2,"B2R3","_NE","_1","_5.9",-1.1,-1.4
"206","6/30/21",181,2021,"B2R3_SW",4,33.8,"no","no",49,2,"B2R3","_SW","_1","_5.3",-0.9,-1.42
"207","6/30/21",181,2021,"B2R3_SW",4,28.6,"no","no",50,2,"B2R3","_SW","_1","_5.14",-0.98,-1.34
"208","6/30/21",181,2021,"B3R1_NE",4,34.1,"no","no",27,3,"B3R1","_NE","_1","_5.5",-1.02,-1.35
"209","6/30/21",181,2021,"B3R1_NE",4,34.9,"noz","no",20,3,"B3R1","_NE","_1","_5.8",-1.05,-1.4
"210","6/30/21",181,2021,"B3R1_SE",4,34.6,"no","no",29,3,"B3R1","_SE","_1","_5.8",-0.94,-1.46
"211","6/30/21",181,2021,"B3R2_NW",4,36,"no","no",34,3,"B3R2","_NW","_1","_5.13",-0.97,-1.46
"212","6/30/21",181,2021,"B3R2_SW",4,NA,"no","no",36,3,"B3R2","_SW","_1","_5.9",-1,-1.35
"213","6/30/21",181,2021,"B3R2_SW",4,33.4,"no","no",45,3,"B3R2","_SW","_1","_5.12",-1,-1.4
